.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x34_affmot_eat,x35_int_eat,x37_plan_eat,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x33_goal_sed,x36_goal_eat,x29_wgoal_sleep,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
sharpnessnextpouch@timestudy_com/2020-03-27/phone_promptresponse_clean_2020-03-27.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-27,2020-03-27 21:33:00 PDT,GMT-07:00,1585369980054,Completed,2020-03-27,2020-03-27 21:34:47 PDT,1585370087530,1,set_2,24,6,Not at all,Extremely,A little,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Moderately,No,Did not have to work today,0,,,,,,,,,A little,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-28/phone_promptresponse_clean_2020-03-28.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-28,2020-03-28 21:35:00 PDT,GMT-07:00,1585456500172,Completed,2020-03-28,2020-03-28 21:36:45 PDT,1585456605246,1,set_4,24,6,A little,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-29/phone_promptresponse_clean_2020-03-29.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-03-29,2020-03-29 22:11:00 PDT,GMT-07:00,1585545060098,Completed,2020-03-29,2020-03-29 22:13:25 PDT,1585545205327,1,set_1,31,6,A little,Quite a bit,A little,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,Very much so,Definitely will,Yes,Maybe,,,,,,,,Yes,Maybe,Yes,Yes,Yes,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-30/phone_promptresponse_clean_2020-03-30.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-03-30,2020-03-30 22:24:00 PDT,GMT-07:00,1585632240078,Completed,2020-03-30,2020-03-30 22:25:31 PDT,1585632331961,1,set_3,22,6,A little,Quite a bit,Moderately,Moderately,Quite a bit,A little,A little,A little,A little,Very much so,Very much so,Not at all,A little,Very much so,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-31/phone_promptresponse_clean_2020-03-31.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-31,2020-03-31 21:30:00 PDT,GMT-07:00,1585715400127,Completed,2020-03-31,2020-03-31 21:33:06 PDT,1585715586398,1,set_4,24,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,A little,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-01/phone_promptresponse_clean_2020-04-01.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-01,2020-04-01 21:35:00 PDT,GMT-07:00,1585802100116,Completed,2020-04-01,2020-04-01 21:36:34 PDT,1585802194861,1,set_2,24,6,Not at all,Extremely,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,No,0,,,,,,,,,Quite a bit,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-02/phone_promptresponse_clean_2020-04-02.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-02,2020-04-02 22:16:00 PDT,GMT-07:00,1585890960206,Completed,2020-04-02,2020-04-02 22:22:58 PDT,1585891378152,2,set_4,24,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-03/phone_promptresponse_clean_2020-04-03.csv,23,sharpnessnextpouch,Daily,BURST,RANDOM,22,23,2020-04-03,2020-04-03 22:25:00 PDT,GMT-07:00,1585977900138,Completed,2020-04-03,2020-04-03 22:26:21 PDT,1585977981704,1,set_1,25,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-04/phone_promptresponse_clean_2020-04-04.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-04,2020-04-04 21:31:00 PDT,GMT-07:00,1586061060072,Completed,2020-04-04,2020-04-04 21:46:39 PDT,1586061999970,2,set_3,22,6,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-05/phone_promptresponse_clean_2020-04-05.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-05,2020-04-05 21:46:00 PDT,GMT-07:00,1586148360092,Completed,2020-04-05,2020-04-05 21:48:11 PDT,1586148491599,1,set_2,30,6,Not at all,Extremely,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Very much so,Definitely will,Trying to decide,Yes,Maybe,Yes,Yes,Yes,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-06/phone_promptresponse_clean_2020-04-06.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-06,2020-04-06 21:44:00 PDT,GMT-07:00,1586234640114,Completed,2020-04-06,2020-04-06 21:45:21 PDT,1586234721234,1,set_4,24,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Very much so,No,No,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-07/phone_promptresponse_clean_2020-04-07.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-07,2020-04-07 22:27:00 PDT,GMT-07:00,1586323620087,Completed,2020-04-07,2020-04-07 22:28:21 PDT,1586323701359,1,set_3,22,6,A little,Quite a bit,A little,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Very much so,No,Did not have to work today,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-08/phone_promptresponse_clean_2020-04-08.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-08,2020-04-08 22:22:00 PDT,GMT-07:00,1586409720118,Completed,2020-04-08,2020-04-08 22:23:07 PDT,1586409787115,1,set_2,24,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,A little,A little,Quite a bit,No,No,0,,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-09/phone_promptresponse_clean_2020-04-09.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-09,2020-04-09 22:34:00 PDT,GMT-07:00,1586496840154,Completed,2020-04-09,2020-04-09 22:35:28 PDT,1586496928664,1,set_1,25,6,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Quite a bit,A little,A little,Quite a bit,No,Did not have to work today,0,Very much so,Definitely will,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-10/phone_promptresponse_clean_2020-04-10.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-10,2020-04-10 21:26:00 PDT,GMT-07:00,1586579160067,Completed,2020-04-10,2020-04-10 21:27:22 PDT,1586579242096,1,set_3,22,6,A little,Quite a bit,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-11/phone_promptresponse_clean_2020-04-11.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-11,2020-04-11 22:48:00 PDT,GMT-07:00,1586670480104,Completed,2020-04-11,2020-04-11 22:49:25 PDT,1586670565563,1,set_2,24,7,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,Did not have to work today,0,,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-12/phone_promptresponse_clean_2020-04-12.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-12,2020-04-12 21:15:00 PDT,GMT-07:00,1586751300093,Completed,2020-04-12,2020-04-12 21:16:50 PDT,1586751410636,1,set_3,29,7,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,Did not have to work today,0,,,,,Very much so,,,,,,,Yes,Maybe,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-13/phone_promptresponse_clean_2020-04-13.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-13,2020-04-13 21:29:00 PDT,GMT-07:00,1586838540116,Completed,2020-04-13,2020-04-13 21:29:54 PDT,1586838594268,1,set_3,22,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-14/phone_promptresponse_clean_2020-04-14.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-14,2020-04-14 21:29:00 PDT,GMT-07:00,1586924940182,Completed,2020-04-14,2020-04-14 21:30:18 PDT,1586925018841,1,set_2,24,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-15/phone_promptresponse_clean_2020-04-15.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-15,2020-04-15 21:45:00 PDT,GMT-07:00,1587012300124,Completed,2020-04-15,2020-04-15 21:46:24 PDT,1587012384871,1,set_1,25,7,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,A little,Not at all,Not at all,Very much so,Very much so,A little,Not at all,Very much so,No,No,0,Very much so,Definitely will,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-16/phone_promptresponse_clean_2020-04-16.csv,21,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-16,2020-04-16 21:17:00 PDT,GMT-07:00,1587097020138,Completed,2020-04-16,2020-04-16 21:18:27 PDT,1587097107710,1,set_1,25,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Quite a bit,Very much so,No,Did not have to work today,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-17/phone_promptresponse_clean_2020-04-17.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-17,2020-04-17 21:23:00 PDT,GMT-07:00,1587183780133,Completed,2020-04-17,2020-04-17 21:24:39 PDT,1587183879414,1,set_1,25,7,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,Very much so,Definitely will,Sort of,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-18/phone_promptresponse_clean_2020-04-18.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-18,2020-04-18 21:42:00 PDT,GMT-07:00,1587271320113,Completed,2020-04-18,2020-04-18 21:48:04 PDT,1587271684991,2,set_2,24,7,Not at all,Extremely,Not at all,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-19/phone_promptresponse_clean_2020-04-19.csv,23,sharpnessnextpouch,Daily,BURST,RANDOM,22,23,2020-04-19,2020-04-19 22:24:00 PDT,GMT-07:00,1587360240097,Completed,2020-04-19,2020-04-19 22:31:23 PDT,1587360683016,2,set_2,31,7,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,A little,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,,,,,,,,,Very much so,Definitely will,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-20/phone_promptresponse_clean_2020-04-20.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-20,2020-04-20 21:49:00 PDT,GMT-07:00,1587444540142,Completed,2020-04-20,2020-04-20 21:55:23 PDT,1587444923175,2,set_2,24,7,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Quite a bit,No,Did not have to work today,0,,,,,,,,,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-21/phone_promptresponse_clean_2020-04-21.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-21,2020-04-21 21:30:00 PDT,GMT-07:00,1587529800053,Completed,2020-04-21,2020-04-21 21:31:17 PDT,1587529877858,1,set_2,24,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Quite a bit,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-22/phone_promptresponse_clean_2020-04-22.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-22,2020-04-22 21:26:00 PDT,GMT-07:00,1587615960297,Completed,2020-04-22,2020-04-22 22:34:42 PDT,1587620082458,2,set_4,24,7,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,A little,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,No,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-23/phone_promptresponse_clean_2020-04-23.csv,21,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-23,2020-04-23 21:31:00 PDT,GMT-07:00,1587702660140,Completed,2020-04-23,2020-04-23 21:44:48 PDT,1587703488776,2,set_3,22,7,A little,Quite a bit,Not at all,Extremely,Extremely,Not at all,A little,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Quite a bit,No,Did not have to work today,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-24/phone_promptresponse_clean_2020-04-24.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-24,2020-04-24 22:26:00 PDT,GMT-07:00,1587792360195,Completed,2020-04-24,2020-04-24 22:27:25 PDT,1587792445915,1,set_3,22,7,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Quite a bit,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-25/phone_promptresponse_clean_2020-04-25.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-25,2020-04-25 21:47:00 PDT,GMT-07:00,1587876420208,Completed,2020-04-25,2020-04-25 21:48:19 PDT,1587876499537,1,set_4,24,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-26/phone_promptresponse_clean_2020-04-26.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-26,2020-04-26 21:19:00 PDT,GMT-07:00,1587961140096,Completed,2020-04-26,2020-04-26 21:21:49 PDT,1587961309122,1,set_3,29,7,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Quite a bit,Very much so,No,Did not have to work today,0,,,,,Very much so,,,,,,,Yes,Maybe,Yes,Yes,Yes,Maybe,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-27/phone_promptresponse_clean_2020-04-27.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-27,2020-04-27 22:14:00 PDT,GMT-07:00,1588050840139,Completed,2020-04-27,2020-04-27 22:30:34 PDT,1588051834813,2,set_3,22,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Quite a bit,Very much so,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-28/phone_promptresponse_clean_2020-04-28.csv,21,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-04-28,2020-04-28 21:47:00 PDT,GMT-07:00,1588135620054,Completed,2020-04-28,2020-04-28 21:53:40 PDT,1588136020444,2,set_3,22,7,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,A little,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-29/phone_promptresponse_clean_2020-04-29.csv,23,sharpnessnextpouch,Daily,TIME,RANDOM,22,23,2020-04-29,2020-04-29 22:20:00 PDT,GMT-07:00,1588224000196,Completed,2020-04-29,2020-04-29 22:20:55 PDT,1588224055352,1,set_4,24,7,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-04-30/phone_promptresponse_clean_2020-04-30.csv,23,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-04-30,2020-04-30 21:26:00 PDT,GMT-07:00,1588307160162,Completed,2020-04-30,2020-04-30 21:27:29 PDT,1588307249699,1,set_4,24,7,Not at all,Extremely,A little,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
