.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
massagerresidencyenlarging@timestudy_com/2020-12-14/phone_promptresponse_clean_2020-12-14.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-14,2020-12-14 01:10:00 PST,GMT-08:00,1607937000520,Completed,2020-12-14,2020-12-14 01:13:22 PST,1607937202098,1,set_1,48,9,Not at all,Moderately,Not at all,A little,A little,Not at all,Moderately,Not at all,Moderately,Not at all,Not at all,Very much so,Quite a bit,Not at all,No,No,0,,,,,,,,,,,Yes,Maybe,Not really,Maybe,Not really,Not really,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Less,A lot more,More,Very little,Very little,Quite a bit,Definitely will,Yes,No
massagerresidencyenlarging@timestudy_com/2020-12-15/phone_promptresponse_clean_2020-12-15.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-15,2020-12-15 01:17:00 PST,GMT-08:00,1608023820273,Completed,2020-12-15,2020-12-15 01:58:46 PST,1608026326150,2,set_1,25,9,Not at all,Moderately,A little,Moderately,Moderately,A little,A little,Not at all,A little,A little,A little,Quite a bit,Moderately,Not at all,No,No,0,,,,,,,A little bit,,,,,,,,,,,,,,,,,,,,A little,Might,Sort of,Maybe
massagerresidencyenlarging@timestudy_com/2020-12-16/phone_promptresponse_clean_2020-12-16.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-16,2020-12-16 01:20:00 PST,GMT-08:00,1608110400355,Completed,2020-12-16,2020-12-16 01:21:23 PST,1608110483133,1,set_4,24,9,A little,Not at all,Moderately,Not at all,A little,A little,Moderately,Moderately,Not at all,Not at all,Not at all,Quite a bit,Moderately,Not at all,No,No,0,,,,A little,Might,Not really,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-17/phone_promptresponse_clean_2020-12-17.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-17,2020-12-17 01:17:00 PST,GMT-08:00,1608196620421,Completed,2020-12-17,2020-12-17 01:18:14 PST,1608196694313,1,set_4,24,9,A little,Moderately,A little,Moderately,A little,Moderately,Quite a bit,A little,Quite a bit,A little,Not at all,Very much so,Moderately,Not at all,No,No,0,,,,Very much so,Might,Sort of,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-18/phone_promptresponse_clean_2020-12-18.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2020-12-18,2020-12-18 01:35:00 PST,GMT-08:00,1608284100329,Completed,2020-12-18,2020-12-18 01:37:38 PST,1608284258618,1,set_2,23,9,Not at all,Moderately,Moderately,A little,A little,Not at all,Not at all,Moderately,Not at all,A little,A little,Quite a bit,Moderately,Not at all,No,No,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-19/phone_promptresponse_clean_2020-12-19.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2020-12-19,2020-12-19 01:21:00 PST,GMT-08:00,1608369660223,Completed,2020-12-19,2020-12-19 01:22:48 PST,1608369768804,1,set_1,25,9,Not at all,Moderately,Not at all,A little,Moderately,Not at all,Not at all,A little,Not at all,Not at all,A little,Not at all,A little,Not at all,No,No,0,,,,,,,Somewhat,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,No
massagerresidencyenlarging@timestudy_com/2020-12-20/phone_promptresponse_clean_2020-12-20.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2020-12-20,2020-12-20 01:43:00 PST,GMT-08:00,1608457380433,Completed,2020-12-20,2020-12-20 01:46:34 PST,1608457594505,1,set_3,47,9,A little,Moderately,A little,Moderately,Moderately,Not at all,A little,A little,Not at all,A little,A little,Not at all,A little,Not at all,No,No,0,,,,,,,,A little,Might,Not really,Not really,No,Sort of,Maybe,Sort of,Yes,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot more,A lot more,More,Moderate,Quite a bit,,,,
massagerresidencyenlarging@timestudy_com/2020-12-21/phone_promptresponse_clean_2020-12-21.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2020-12-21,2020-12-21 01:24:00 PST,GMT-08:00,1608542640303,Completed,2020-12-21,2020-12-21 01:26:35 PST,1608542795573,1,set_4,47,9,A little,Moderately,Moderately,A little,A little,A little,A little,Moderately,Not at all,Not at all,A little,Not at all,A little,Not at all,No,No,0,,,,A little,Probably will,Sort of,,,,,Not really,Maybe,Sort of,Maybe,Not really,Sort of,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Very little,Moderate,,,,
massagerresidencyenlarging@timestudy_com/2020-12-22/phone_promptresponse_clean_2020-12-22.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-22,2020-12-22 01:17:00 PST,GMT-08:00,1608628620417,Completed,2020-12-22,2020-12-22 01:18:09 PST,1608628689087,1,set_3,23,9,A little,A little,Moderately,Not at all,A little,A little,A little,Not at all,A little,Not at all,A little,Not at all,A little,A little,No,No,0,,,,,,,,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-23/phone_promptresponse_clean_2020-12-23.csv,23,massagerresidencyenlarging,Daily,TIME,RANDOM,22,23,2020-12-23,2020-12-23 22:45:00 PST,GMT-08:00,1608792300714,Completed,2020-12-23,2020-12-23 22:45:59 PST,1608792359978,1,set_4,23,9,A little,A little,Moderately,Moderately,Extremely,A little,Moderately,Moderately,A little,Moderately,A little,Moderately,Quite a bit,Moderately,No,No,0,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-24/phone_promptresponse_clean_2020-12-24.csv,23,massagerresidencyenlarging,Daily,TIME,RANDOM,23,0,2020-12-24,2020-12-24 23:25:00 PST,GMT-08:00,1608881100529,Completed,2020-12-24,2020-12-24 23:26:04 PST,1608881164146,1,set_4,23,9,A little,A little,Quite a bit,Not at all,A little,Moderately,Moderately,Moderately,Moderately,A little,A little,A little,Moderately,A little,No,No,0,,,,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-25/phone_promptresponse_clean_2020-12-25.csv,23,massagerresidencyenlarging,Daily,TIME,RANDOM,22,23,2020-12-25,2020-12-25 22:43:00 PST,GMT-08:00,1608964980310,Completed,2020-12-25,2020-12-25 22:44:29 PST,1608965069523,1,set_1,24,9,A little,Moderately,A little,Moderately,A little,A little,Moderately,A little,A little,A little,A little,A little,A little,Not at all,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Not really,Maybe
massagerresidencyenlarging@timestudy_com/2020-12-26/phone_promptresponse_clean_2020-12-26.csv,24,massagerresidencyenlarging,Daily,TIME,RANDOM,23,0,2020-12-26,2020-12-26 23:14:00 PST,GMT-08:00,1609053240266,Completed,2020-12-26,2020-12-26 23:15:27 PST,1609053327211,1,set_2,24,9,A little,Moderately,Moderately,Not at all,A little,A little,A little,A little,Not at all,A little,A little,Not at all,Quite a bit,A little,No,No,0,Quite a bit,Definitely will not,Not thought about it,,,,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-28/phone_promptresponse_clean_2020-12-28.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-28,2020-12-28 00:35:00 PST,GMT-08:00,1609144500395,Completed,2020-12-28,2020-12-28 00:38:06 PST,1609144686177,1,set_3,48,9,A little,A little,Moderately,A little,A little,Not at all,Not at all,A little,A little,A little,A little,Not at all,A little,A little,No,No,0,,,,,,,A little bit,A little,Might,Not really,Sort of,No,Sort of,Maybe,Not really,Sort of,Not at all,A little,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Moderate,Very little,,,,
massagerresidencyenlarging@timestudy_com/2020-12-29/phone_promptresponse_clean_2020-12-29.csv,4,massagerresidencyenlarging,Daily,TIME,RANDOM,3,4,2020-12-29,2020-12-29 03:21:00 PST,GMT-08:00,1609240860311,Completed,2020-12-29,2020-12-29 04:24:52 PST,1609244692105,2,set_3,23,9,A little,Moderately,A little,A little,Moderately,A little,A little,A little,Not at all,A little,A little,A little,A little,A little,No,No,0,,,,,,,,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-30/phone_promptresponse_clean_2020-12-30.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-30,2020-12-30 00:35:00 PST,GMT-08:00,1609317300248,Completed,2020-12-30,2020-12-30 00:37:03 PST,1609317423863,1,set_4,23,9,A little,A little,Moderately,Moderately,A little,A little,A little,Moderately,Moderately,A little,Moderately,Moderately,Moderately,A little,No,No,0,,,,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-31/phone_promptresponse_clean_2020-12-31.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2020-12-31,2020-12-31 01:17:00 PST,GMT-08:00,1609406220362,Completed,2020-12-31,2020-12-31 01:18:06 PST,1609406286785,1,set_1,25,9,A little,Moderately,Quite a bit,Not at all,A little,A little,Moderately,Moderately,A little,A little,A little,Not at all,A little,A little,No,No,0,,,,,,,A little bit,,,,,,,,,,,,,,,,,,,,A little,Might,Sort of,Yes
massagerresidencyenlarging@timestudy_com/2021-01-01/phone_promptresponse_clean_2021-01-01.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-01,2021-01-01 01:48:00 PST,GMT-08:00,1609494480302,Completed,2021-01-01,2021-01-01 01:49:18 PST,1609494558786,1,set_3,24,9,A little,A little,Quite a bit,Not at all,A little,A little,Moderately,A little,Not at all,Not at all,A little,A little,A little,A little,No,No,0,,,,,,,A little bit,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-02/phone_promptresponse_clean_2021-01-02.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2021-01-02,2021-01-02 01:19:00 PST,GMT-08:00,1609579140308,Completed,2021-01-02,2021-01-02 01:20:14 PST,1609579214533,1,set_1,25,9,A little,Moderately,Quite a bit,Not at all,A little,A little,A little,A little,Not at all,Moderately,A little,A little,A little,Moderately,No,No,0,,,,,,,A little bit,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,No
massagerresidencyenlarging@timestudy_com/2021-01-03/phone_promptresponse_clean_2021-01-03.csv,4,massagerresidencyenlarging,Daily,BURST,RANDOM,3,4,2021-01-03,2021-01-03 03:17:00 PST,GMT-08:00,1609672620384,Completed,2021-01-03,2021-01-03 03:20:12 PST,1609672812719,1,set_4,47,9,A little,Moderately,Moderately,A little,A little,Moderately,Moderately,Quite a bit,Moderately,A little,A little,Moderately,Quite a bit,A little,No,No,0,,,,Quite a bit,Probably will,Sort of,,,,,Yes,Maybe,Sort of,Maybe,Sort of,Sort of,A little,A little,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Very little,Moderate,,,,
massagerresidencyenlarging@timestudy_com/2021-01-04/phone_promptresponse_clean_2021-01-04.csv,1,massagerresidencyenlarging,Daily,BURST,RANDOM,0,1,2021-01-04,2021-01-04 00:23:00 PST,GMT-08:00,1609748580357,Completed,2021-01-04,2021-01-04 00:30:09 PST,1609749009540,2,set_1,48,9,A little,A little,A little,A little,A little,A little,A little,A little,Moderately,Moderately,Not at all,Moderately,A little,Moderately,No,No,0,,,,,,,,,,,Sort of,Maybe,Sort of,Maybe,Not really,Sort of,Quite a bit,A little,I am currently experiencing severe viral symptoms,0 days,0 days,A lot more,Neither more nor less,More,Moderate,Very little,A little,Probably will not,Not really,Maybe
massagerresidencyenlarging@timestudy_com/2021-01-05/phone_promptresponse_clean_2021-01-05.csv,1,massagerresidencyenlarging,Daily,BURST,RANDOM,0,1,2021-01-05,2021-01-05 00:44:01 PST,GMT-08:00,1609836241319,Completed,2021-01-05,2021-01-05 00:45:00 PST,1609836300494,1,set_3,23,9,A little,A little,A little,Moderately,A little,A little,A little,Moderately,Moderately,A little,A little,A little,A little,A little,No,No,0,,,,,,,,Quite a bit,Might,Sort of,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-06/phone_promptresponse_clean_2021-01-06.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2021-01-06,2021-01-06 00:44:00 PST,GMT-08:00,1609922640301,Completed,2021-01-06,2021-01-06 00:56:07 PST,1609923367260,2,set_3,24,9,A little,A little,Moderately,A little,A little,A little,A little,Moderately,A little,Moderately,A little,A little,A little,A little,No,No,0,,,,,,,A little bit,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-07/phone_promptresponse_clean_2021-01-07.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-07,2021-01-07 01:12:00 PST,GMT-08:00,1610010720431,Completed,2021-01-07,2021-01-07 01:12:40 PST,1610010760046,1,set_4,23,9,A little,A little,Moderately,Moderately,Moderately,A little,A little,A little,A little,Moderately,Moderately,Not at all,A little,A little,No,No,0,,,,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-08/phone_promptresponse_clean_2021-01-08.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-08,2021-01-08 01:13:00 PST,GMT-08:00,1610097180382,Completed,2021-01-08,2021-01-08 01:13:50 PST,1610097230447,1,set_2,24,9,A little,A little,A little,A little,A little,A little,A little,A little,Moderately,A little,Not at all,A little,A little,A little,No,No,0,A little,Probably will,Yes,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-09/phone_promptresponse_clean_2021-01-09.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,2,3,2021-01-09,2021-01-09 02:10:00 PST,GMT-08:00,1610187000395,Completed,2021-01-09,2021-01-09 02:11:32 PST,1610187092228,1,set_2,24,9,A little,A little,Quite a bit,A little,A little,Not at all,Moderately,A little,A little,A little,Not at all,Not at all,Not at all,A little,No,No,0,Quite a bit,Probably will,Trying to decide,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-10/phone_promptresponse_clean_2021-01-10.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-10,2021-01-10 01:20:00 PST,GMT-08:00,1610270400451,Completed,2021-01-10,2021-01-10 01:23:13 PST,1610270593901,1,set_1,48,9,Moderately,A little,Quite a bit,A little,Moderately,Moderately,Quite a bit,Moderately,Quite a bit,A little,A little,A little,Moderately,A little,Yes,No,0,,,,,,,,,,,Sort of,Maybe,Yes,Maybe,Sort of,Sort of,Not at all,A little,I am currently experiencing mild-moderate viral symptoms,0 days,0 days,A lot more,A lot more,Neither more nor less,Moderate,Moderate,Not at all,Definitely will not,No,No
massagerresidencyenlarging@timestudy_com/2021-01-11/phone_promptresponse_clean_2021-01-11.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-11,2021-01-11 01:33:00 PST,GMT-08:00,1610357580388,Completed,2021-01-11,2021-01-11 01:35:12 PST,1610357712266,1,set_3,47,9,A little,A little,Moderately,A little,A little,A little,A little,A little,Quite a bit,A little,A little,A little,Moderately,A little,No,No,0,,,,,,,,Quite a bit,Probably will not,Sort of,Sort of,Maybe,Sort of,No,Sort of,Sort of,A little,A little,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Very little,Moderate,,,,
massagerresidencyenlarging@timestudy_com/2021-01-12/phone_promptresponse_clean_2021-01-12.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-12,2021-01-12 01:22:00 PST,GMT-08:00,1610443320379,Completed,2021-01-12,2021-01-12 01:26:06 PST,1610443566226,1,set_2,23,9,A little,Moderately,Moderately,A little,A little,A little,A little,Moderately,A little,Moderately,Not at all,A little,A little,A little,No,No,0,A little,Might,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-13/phone_promptresponse_clean_2021-01-13.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-13,2021-01-13 01:29:00 PST,GMT-08:00,1610530140632,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-14/phone_promptresponse_clean_2021-01-14.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-14,2021-01-14 01:49:00 PST,GMT-08:00,1610617740421,Completed,2021-01-14,2021-01-14 01:54:31 PST,1610618071463,2,set_4,23,9,A little,A little,A little,A little,A little,Moderately,Moderately,Moderately,A little,Moderately,A little,Moderately,A little,A little,No,No,0,,,,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-15/phone_promptresponse_clean_2021-01-15.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-15,2021-01-15 01:25:00 PST,GMT-08:00,1610702700368,Completed,2021-01-15,2021-01-15 01:26:02 PST,1610702762774,1,set_2,23,9,Moderately,A little,A little,Moderately,A little,A little,A little,Moderately,A little,Quite a bit,Not at all,A little,Moderately,A little,No,No,0,A little,Might,Not thought about it,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-16/phone_promptresponse_clean_2021-01-16.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,1,2,2021-01-16,2021-01-16 01:48:01 PST,GMT-08:00,1610790481098,Completed,2021-01-16,2021-01-16 01:48:44 PST,1610790524257,1,set_4,24,9,A little,A little,A little,A little,Moderately,A little,A little,Moderately,Moderately,Moderately,Not at all,A little,A little,A little,No,No,0,,,,A little,Might,Sort of,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2021-01-17/phone_promptresponse_clean_2021-01-17.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2021-01-17,2021-01-17 00:41:00 PST,GMT-08:00,1610872860309,Completed,2021-01-17,2021-01-17 00:43:25 PST,1610873005452,1,set_2,47,9,A little,A little,Moderately,A little,A little,Moderately,A little,A little,A little,Moderately,A little,Quite a bit,A little,A little,No,No,0,Very much so,Probably will,Yes,,,,,,,,Not really,Maybe,Yes,Maybe,Sort of,Sort of,A little,A little,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Very little,Moderate,,,,
massagerresidencyenlarging@timestudy_com/2021-01-18/phone_promptresponse_clean_2021-01-18.csv,1,massagerresidencyenlarging,Daily,BURST,RANDOM,0,1,2021-01-18,2021-01-18 00:14:00 PST,GMT-08:00,1610957640393,Completed,2021-01-18,2021-01-18 00:16:10 PST,1610957770384,1,set_4,48,9,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderately,Not at all,Very much so,A little,A little,No,No,0,,,,Quite a bit,Might,Sort of,A little bit,,,,Sort of,Maybe,Sort of,Maybe,Sort of,Not really,Moderately,A little,I am not experiencing viral symptoms,0 days,0 days,Less,More,Neither more nor less,Moderate,Moderate,,,,
