.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat
quizzicalpremiumfrayed@timestudy_com/2021-08-09/phone_promptresponse_clean_2021-08-09.csv,2,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-08-09,2021-08-09 01:46:00 PDT,GMT-07:00,1628498760110,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-09/phone_promptresponse_clean_2021-08-09.csv,23,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-09,2021-08-09 23:42:00 PDT,GMT-07:00,1628577720099,Completed,2021-08-09,2021-08-09 23:43:49 PDT,1628577829844,1,set_3,23,9,Not at all,Quite a bit,A little,A little,Quite a bit,Not at all,A little,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-11/phone_promptresponse_clean_2021-08-11.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-11,2021-08-11 00:45:00 PDT,GMT-07:00,1628667900127,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-11/phone_promptresponse_clean_2021-08-11.csv,23,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-11,2021-08-11 23:38:00 PDT,GMT-07:00,1628750280144,Completed,2021-08-11,2021-08-11 23:43:52 PDT,1628750632356,2,set_4,23,9,A little,Moderately,A little,A little,Moderately,Not at all,Not at all,Not at all,A little,Moderately,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-08-13/phone_promptresponse_clean_2021-08-13.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-13,2021-08-13 00:20:00 PDT,GMT-07:00,1628839200111,Completed,2021-08-13,2021-08-13 00:21:35 PDT,1628839295124,1,set_1,24,9,A little,Moderately,A little,A little,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,Quite a bit,Probably will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-14/phone_promptresponse_clean_2021-08-14.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-14,2021-08-14 00:29:00 PDT,GMT-07:00,1628926140151,Completed,2021-08-14,2021-08-14 00:32:56 PDT,1628926376045,1,set_3,24,9,A little,Moderately,Moderately,A little,Moderately,A little,A little,A little,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,,A little,Might,Sort of,,,,A little bit,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-14/phone_promptresponse_clean_2021-08-14.csv,23,quizzicalpremiumfrayed,Daily,BURST,RANDOM,23,0,2021-08-14,2021-08-14 23:47:00 PDT,GMT-07:00,1629010020124,Completed,2021-08-14,2021-08-14 23:48:58 PDT,1629010138576,1,set_4,23,9,A little,Moderately,A little,A little,Moderately,Not at all,Not at all,A little,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Yes
quizzicalpremiumfrayed@timestudy_com/2021-08-16/phone_promptresponse_clean_2021-08-16.csv,1,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-08-16,2021-08-16 00:46:01 PDT,GMT-07:00,1629099961439,Completed,2021-08-16,2021-08-16 00:52:28 PDT,1629100348952,2,set_1,48,9,A little,Moderately,A little,A little,Moderately,Not at all,A little,A little,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,Very much so,Definitely will,Yes,but I had a goal,,,,,,,,Sort of,Maybe,Sort of,Maybe,Sort of,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Very little,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-16/phone_promptresponse_clean_2021-08-16.csv,23,quizzicalpremiumfrayed,Daily,BURST,RANDOM,23,0,2021-08-16,2021-08-16 23:43:00 PDT,GMT-07:00,1629182580130,Completed,2021-08-16,2021-08-16 23:50:16 PDT,1629183016664,2,set_3,23,9,A little,Moderately,A little,Moderately,Moderately,Not at all,Not at all,Not at all,A little,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-18/phone_promptresponse_clean_2021-08-18.csv,1,quizzicalpremiumfrayed,Daily,BURST,RANDOM,23,0,2021-08-17,2021-08-17 23:45:00 PDT,GMT-07:00,1629269100165,Completed,2021-08-18,2021-08-18 00:00:33 PDT,1629270033696,2,set_4,24,9,A little,Moderately,A little,A little,Moderately,A little,A little,A little,A little,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,A little bit,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Not really
quizzicalpremiumfrayed@timestudy_com/2021-08-18/phone_promptresponse_clean_2021-08-18.csv,23,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-18,2021-08-18 23:36:00 PDT,GMT-07:00,1629354960100,Completed,2021-08-18,2021-08-18 23:42:22 PDT,1629355342766,2,set_4,23,9,A little,Moderately,A little,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-08-21/phone_promptresponse_clean_2021-08-21.csv,2,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-08-21,2021-08-21 01:15:00 PDT,GMT-07:00,1629533700109,Completed,2021-08-21,2021-08-21 01:21:19 PDT,1629534079843,2,set_1,25,9,A little,Quite a bit,Moderately,Moderately,Moderately,A little,A little,Not at all,Moderately,Moderately,Moderately,Moderately,Not at all,A little,No,Did not have to work today,0,Quite a bit,Probably will,Sort of,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-22/phone_promptresponse_clean_2021-08-22.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-08-22,2021-08-22 01:25:00 PDT,GMT-07:00,1629620700141,Completed,2021-08-22,2021-08-22 01:34:51 PDT,1629621291081,2,set_4,47,9,A little,Quite a bit,Moderately,A little,Moderately,Not at all,A little,Not at all,A little,Moderately,Quite a bit,A little,Not at all,A little,No,Yes,0,,,,,,,,,,,,Not really,No and I didn't have a goal,Not really,Maybe,Not really,Sort of,A little,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,More,Very little,Very little,Quite a bit,Probably will,Not really
quizzicalpremiumfrayed@timestudy_com/2021-08-22/phone_promptresponse_clean_2021-08-22.csv,23,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-22,2021-08-22 23:47:00 PDT,GMT-07:00,1629701220138,Completed,2021-08-22,2021-08-22 23:57:07 PDT,1629701827788,2,set_1,48,9,A little,Moderately,Quite a bit,A little,Moderately,A little,A little,Not at all,Moderately,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,A little,Might,Not really,Maybe,,,,,,,,Not really,Maybe,Sort of,Maybe,Not really,Not really,A little,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,More,Very little,Very little,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-23/phone_promptresponse_clean_2021-08-23.csv,23,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-23,2021-08-23 23:40:00 PDT,GMT-07:00,1629787200117,Completed,2021-08-23,2021-08-23 23:46:01 PDT,1629787561882,2,set_1,24,9,A little,Moderately,Moderately,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,A little,Might,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-25/phone_promptresponse_clean_2021-08-25.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-25,2021-08-25 00:23:00 PDT,GMT-07:00,1629876180165,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-26/phone_promptresponse_clean_2021-08-26.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-26,2021-08-26 00:46:00 PDT,GMT-07:00,1629963960130,Completed,2021-08-26,2021-08-26 01:55:40 PDT,1629968140565,2,set_2,24,9,A little,Moderately,A little,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,Moderately,A little,Moderately,No,No,0,,,,,,,,Quite a bit,Might,Trying to decide,A little bit,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-27/phone_promptresponse_clean_2021-08-27.csv,2,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-08-27,2021-08-27 01:35:00 PDT,GMT-07:00,1630053300087,Completed,2021-08-27,2021-08-27 01:36:38 PDT,1630053398189,1,set_4,24,9,A little,Moderately,Moderately,A little,A little,Moderately,Moderately,A little,Quite a bit,Moderately,Moderately,Moderately,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Not really
quizzicalpremiumfrayed@timestudy_com/2021-08-27/phone_promptresponse_clean_2021-08-27.csv,24,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-27,2021-08-27 23:38:00 PDT,GMT-07:00,1630132680133,Completed,2021-08-27,2021-08-27 23:51:56 PDT,1630133516012,2,set_4,23,9,Moderately,A little,Moderately,A little,A little,Moderately,Quite a bit,A little,Quite a bit,Moderately,Moderately,A little,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-08-29/phone_promptresponse_clean_2021-08-29.csv,3,quizzicalpremiumfrayed,Daily,BURST,RANDOM,1,2,2021-08-29,2021-08-29 01:22:00 PDT,GMT-07:00,1630225320441,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-30/phone_promptresponse_clean_2021-08-30.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,1,2,2021-08-30,2021-08-30 01:43:00 PDT,GMT-07:00,1630312980109,Completed,2021-08-30,2021-08-30 01:46:23 PDT,1630313183812,1,set_3,47,9,A little,A little,A little,A little,Moderately,Not at all,Moderately,Not at all,A little,Moderately,Moderately,Moderately,A little,A little,No,No,0,,,,,A little,Probably will,Sort of,,,,,Not really,No and I didn't have a goal,Not really,but had a goal,Not really,Not really,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Very little,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-31/phone_promptresponse_clean_2021-08-31.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-08-31,2021-08-31 00:18:00 PDT,GMT-07:00,1630394280136,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-01/phone_promptresponse_clean_2021-09-01.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-09-01,2021-09-01 00:20:00 PDT,GMT-07:00,1630480800142,Completed,2021-09-01,2021-09-01 01:22:06 PDT,1630484526827,2,set_1,24,9,A little,A little,Moderately,A little,Moderately,A little,Moderately,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,No,No,0,A little,Might,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-02/phone_promptresponse_clean_2021-09-02.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-02,2021-09-02 00:30:00 PDT,GMT-07:00,1630567800378,Completed,2021-09-02,2021-09-02 00:31:51 PDT,1630567911768,1,set_1,25,9,A little,Moderately,Moderately,A little,Moderately,Not at all,A little,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,Yes,Yes,0,Quite a bit,Might,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-03/phone_promptresponse_clean_2021-09-03.csv,5,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-09-03,2021-09-03 01:22:00 PDT,GMT-07:00,1630657320132,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-04/phone_promptresponse_clean_2021-09-04.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-04,2021-09-04 00:40:00 PDT,GMT-07:00,1630741200119,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-05/phone_promptresponse_clean_2021-09-05.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-05,2021-09-05 00:48:00 PDT,GMT-07:00,1630828080128,Completed,2021-09-05,2021-09-05 00:51:37 PDT,1630828297875,1,set_4,47,9,A little,Moderately,Moderately,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,No,Did not have to work today,0,,,,,,,,,,,,Not really,No and I didn't have a goal,Not really,but had a goal,Not really,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Very little,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-09-06/phone_promptresponse_clean_2021-09-06.csv,21,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-09-06,2021-09-06 23:34:00 PDT,GMT-07:00,1630996440118,Completed,2021-09-06,2021-09-06 23:38:43 PDT,1630996723317,1,set_2,23,9,A little,A little,Moderately,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,No,Did not have to work today,0,,,,,,,,A little,Might,Trying to decide,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-08/phone_promptresponse_clean_2021-09-08.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-08,2021-09-08 00:42:00 PDT,GMT-07:00,1631086920129,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-09/phone_promptresponse_clean_2021-09-09.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-09,2021-09-09 00:48:00 PDT,GMT-07:00,1631173680108,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-10/phone_promptresponse_clean_2021-09-10.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-10,2021-09-10 00:31:00 PDT,GMT-07:00,1631259060124,Completed,2021-09-10,2021-09-10 01:44:15 PDT,1631263455527,2,set_1,25,9,A little,Moderately,A little,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,A little,No,No,0,Quite a bit,Probably will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-11/phone_promptresponse_clean_2021-09-11.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-09-11,2021-09-11 00:41:00 PDT,GMT-07:00,1631346060119,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-12/phone_promptresponse_clean_2021-09-12.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-09-12,2021-09-12 00:39:00 PDT,GMT-07:00,1631432340103,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-13/phone_promptresponse_clean_2021-09-13.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-09-13,2021-09-13 00:45:02 PDT,GMT-07:00,1631519102454,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-14/phone_promptresponse_clean_2021-09-14.csv,2,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-09-14,2021-09-14 00:26:00 PDT,GMT-07:00,1631604360125,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-15/phone_promptresponse_clean_2021-09-15.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-15,2021-09-15 00:36:00 PDT,GMT-07:00,1631691360130,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-16/phone_promptresponse_clean_2021-09-16.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-16,2021-09-16 00:15:00 PDT,GMT-07:00,1631776500135,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-17/phone_promptresponse_clean_2021-09-17.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-17,2021-09-17 00:34:00 PDT,GMT-07:00,1631864040096,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-18/phone_promptresponse_clean_2021-09-18.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-09-18,2021-09-18 00:15:00 PDT,GMT-07:00,1631949300129,Completed,2021-09-18,2021-09-18 00:21:47 PDT,1631949707221,2,set_4,23,9,A little,Moderately,Moderately,A little,Moderately,Not at all,Moderately,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-09-19/phone_promptresponse_clean_2021-09-19.csv,2,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-09-19,2021-09-19 01:40:00 PDT,GMT-07:00,1632040800155,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-09-20/phone_promptresponse_clean_2021-09-20.csv,2,quizzicalpremiumfrayed,Daily,TIME,RANDOM,1,2,2021-09-20,2021-09-20 01:26:00 PDT,GMT-07:00,1632126360104,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
