.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
lardcapablemud@timestudy_com/2020-10-18/phone_promptresponse_clean_2020-10-18.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-10-18,2020-10-18 01:27:00 PDT,GMT-07:00,1603009620107,Completed,2020-10-18,2020-10-18 01:30:01 PDT,1603009801907,1,set_2,47,9,Moderately,Moderately,Quite a bit,A little,Quite a bit,A little,Not at all,A little,Not at all,Quite a bit,Moderately,A little,Moderately,Not at all,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,No,No and I didn't have a goal,No,but had a goal,No,No,A little,A little,I am not experiencing viral symptoms,0 days,0 days,A lot less,Neither more nor less,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-19/phone_promptresponse_clean_2020-10-19.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-10-19,2020-10-19 01:38:00 PDT,GMT-07:00,1603096680205,Completed,2020-10-19,2020-10-19 01:49:33 PDT,1603097373548,2,set_4,47,9,Not at all,Quite a bit,Quite a bit,A little,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Not at all,Moderately,A little,Quite a bit,No,Did not have to work today,0,,,,,,,,Not at all,Probably will not,No,No,No and I didn't have a goal,No,but had a goal,No,No,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-20/phone_promptresponse_clean_2020-10-20.csv,1,lardcapablemud,Daily,BURST,RANDOM,0,1,2020-10-20,2020-10-20 00:40:00 PDT,GMT-07:00,1603179600120,Completed,2020-10-20,2020-10-20 00:41:58 PDT,1603179718142,1,set_3,23,9,Not at all,Moderately,Moderately,Moderately,Quite a bit,Moderately,A little,A little,A little,Moderately,Quite a bit,Moderately,A little,Moderately,No,Yes,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-21/phone_promptresponse_clean_2020-10-21.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-10-21,2020-10-21 01:11:00 PDT,GMT-07:00,1603267860124,Completed,2020-10-21,2020-10-21 01:11:56 PDT,1603267916004,1,set_3,23,9,Moderately,Moderately,A little,Moderately,Quite a bit,A little,A little,A little,Not at all,A little,A little,Quite a bit,Quite a bit,Very much so,No,No,0,,,,Not at all,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-22/phone_promptresponse_clean_2020-10-22.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-22,2020-10-22 01:18:00 PDT,GMT-07:00,1603354680091,Completed,2020-10-22,2020-10-22 01:19:01 PDT,1603354741037,1,set_2,23,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,Quite a bit,Moderately,A little,A little,Quite a bit,No,No,0,Very much so,Might,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-24/phone_promptresponse_clean_2020-10-24.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-24,2020-10-24 01:41:00 PDT,GMT-07:00,1603528860174,Completed,2020-10-24,2020-10-24 01:45:00 PDT,1603529100474,1,set_2,23,9,A little,A little,Quite a bit,A little,Moderately,Quite a bit,Extremely,Quite a bit,Moderately,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,No,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-25/phone_promptresponse_clean_2020-10-25.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-25,2020-10-25 00:32:00 PDT,GMT-07:00,1603611120108,Completed,2020-10-25,2020-10-25 00:34:36 PDT,1603611276777,1,set_4,48,9,Moderately,A little,Quite a bit,Not at all,Moderately,Moderately,Quite a bit,Moderately,A little,Not at all,Quite a bit,Quite a bit,Quite a bit,Moderately,No,No,0,,,,,,,A little bit,A little,Probably will not,No,No,No and I didn't have a goal,No,Maybe,No,No,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-26/phone_promptresponse_clean_2020-10-26.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-26,2020-10-26 01:11:00 PDT,GMT-07:00,1603699860149,Completed,2020-10-26,2020-10-26 01:26:41 PDT,1603700801999,2,set_4,47,9,Moderately,A little,Not at all,Moderately,Quite a bit,Moderately,A little,A little,Not at all,Moderately,Quite a bit,Quite a bit,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,,,A little,Probably will,No,No,No and I didn't have a goal,No,but had a goal,No,No,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Very little,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-27/phone_promptresponse_clean_2020-10-27.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-27,2020-10-27 00:30:00 PDT,GMT-07:00,1603783800101,Completed,2020-10-27,2020-10-27 01:45:02 PDT,1603788302294,2,set_2,24,9,Moderately,A little,Not at all,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,A little,Quite a bit,Moderately,Moderately,A little,Moderately,No,No,0,Very much so,Definitely will not,Yes,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-28/phone_promptresponse_clean_2020-10-28.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-28,2020-10-28 00:48:00 PDT,GMT-07:00,1603871280130,Completed,2020-10-28,2020-10-28 00:54:31 PDT,1603871671431,2,set_3,23,9,Quite a bit,A little,Moderately,Not at all,Quite a bit,Moderately,A little,Quite a bit,A little,A little,A little,Moderately,Quite a bit,Moderately,No,No,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-29/phone_promptresponse_clean_2020-10-29.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-29,2020-10-29 01:33:00 PDT,GMT-07:00,1603960380112,Completed,2020-10-29,2020-10-29 02:29:47 PDT,1603963787360,2,set_3,23,9,Moderately,A little,Moderately,A little,Quite a bit,Quite a bit,Quite a bit,Moderately,A little,Not at all,Not at all,Quite a bit,Moderately,Moderately,No,No,0,,,,A little,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-30/phone_promptresponse_clean_2020-10-30.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-30,2020-10-30 00:47:00 PDT,GMT-07:00,1604044020109,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-31/phone_promptresponse_clean_2020-10-31.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-31,2020-10-31 00:41:00 PDT,GMT-07:00,1604130060144,Completed,2020-10-31,2020-10-31 01:09:15 PDT,1604131755132,2,set_2,23,9,Moderately,Moderately,Quite a bit,Not at all,Quite a bit,Quite a bit,Moderately,Quite a bit,Not at all,A little,Not at all,Moderately,A little,Moderately,No,No,0,Quite a bit,Probably will not,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-01/phone_promptresponse_clean_2020-11-01.csv,3,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-11-01,2020-11-01 01:19:00 PST,GMT-08:00,1604222340170,Completed,2020-11-01,2020-11-01 01:26:15 PST,1604222775619,2,set_2,47,9,A little,Moderately,Quite a bit,Moderately,Quite a bit,A little,A little,Quite a bit,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,No,No and I didn't have a goal,No,but had a goal,No,No,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot less,Neither more nor less,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-11-02/phone_promptresponse_clean_2020-11-02.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-11-02,2020-11-02 01:28:00 PST,GMT-08:00,1604309280214,Completed,2020-11-02,2020-11-02 01:33:47 PST,1604309627381,2,set_3,47,9,Moderately,Moderately,Quite a bit,A little,Extremely,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Moderately,A little,Quite a bit,No,Did not have to work today,0,,,,Not at all,Definitely will not,No,,,,,No,No and I didn't have a goal,No,but had a goal,No,No,A little,A little,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Very little,Not at all,,,,
lardcapablemud@timestudy_com/2020-11-03/phone_promptresponse_clean_2020-11-03.csv,2,lardcapablemud,Daily,BURST,RANDOM,0,1,2020-11-03,2020-11-03 00:45:00 PST,GMT-08:00,1604393100114,Completed,2020-11-03,2020-11-03 01:20:44 PST,1604395244259,2,set_3,23,9,A little,Quite a bit,A little,Quite a bit,Quite a bit,A little,A little,A little,A little,Moderately,Moderately,Moderately,Moderately,Quite a bit,No,No,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-04/phone_promptresponse_clean_2020-11-04.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-11-04,2020-11-04 01:13:00 PST,GMT-08:00,1604481180107,Completed,2020-11-04,2020-11-04 01:18:45 PST,1604481525857,2,set_2,23,9,A little,Quite a bit,A little,Moderately,Quite a bit,A little,A little,A little,A little,Moderately,A little,Moderately,A little,Quite a bit,No,No,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-05/phone_promptresponse_clean_2020-11-05.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-11-05,2020-11-05 01:44:00 PST,GMT-08:00,1604569440128,Completed,2020-11-05,2020-11-05 01:46:44 PST,1604569604588,1,set_2,23,9,A little,A little,Quite a bit,Not at all,Moderately,Moderately,Quite a bit,A little,Quite a bit,Not at all,Quite a bit,Quite a bit,Moderately,Quite a bit,No,No,0,Very much so,Might,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-07/phone_promptresponse_clean_2020-11-07.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-11-07,2020-11-07 01:48:00 PST,GMT-08:00,1604742480209,Completed,2020-11-07,2020-11-07 01:54:54 PST,1604742894074,2,set_1,24,9,A little,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,A little,Moderately,A little,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Might,No,but I had a goal
lardcapablemud@timestudy_com/2020-11-08/phone_promptresponse_clean_2020-11-08.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-11-08,2020-11-08 01:21:00 PST,GMT-08:00,1604827260082,Completed,2020-11-08,2020-11-08 01:23:10 PST,1604827390421,1,set_2,47,9,A little,Quite a bit,A little,Moderately,Quite a bit,Moderately,A little,Moderately,A little,Moderately,Moderately,A little,A little,Moderately,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,No,No and I didn't have a goal,No,but had a goal,No,No,A little,A little,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-11-09/phone_promptresponse_clean_2020-11-09.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-11-09,2020-11-09 01:24:00 PST,GMT-08:00,1604913840110,Completed,2020-11-09,2020-11-09 01:28:19 PST,1604914099873,1,set_4,48,9,A little,Moderately,A little,A little,Quite a bit,Moderately,A little,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,No,Did not have to work today,0,,,,,,,Somewhat,A little,Might,No,No,No and I didn't have a goal,No,but had a goal,No,No,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,
lardcapablemud@timestudy_com/2020-11-10/phone_promptresponse_clean_2020-11-10.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-11-10,2020-11-10 00:12:00 PST,GMT-08:00,1604995920099,Completed,2020-11-10,2020-11-10 00:18:10 PST,1604996290364,2,set_4,23,9,A little,Not at all,Moderately,Not at all,Quite a bit,Moderately,A little,Quite a bit,A little,A little,Moderately,Quite a bit,Moderately,Not at all,No,No,0,,,,,,,,Not at all,Might,No,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-10/phone_promptresponse_clean_2020-11-10.csv,24,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-11-10,2020-11-10 23:41:00 PST,GMT-08:00,1605080460133,Completed,2020-11-10,2020-11-10 23:43:56 PST,1605080636498,1,set_2,23,9,Not at all,Extremely,Moderately,A little,Quite a bit,Moderately,A little,A little,A little,Quite a bit,Moderately,A little,A little,Moderately,No,No,0,Quite a bit,Probably will not,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-12/phone_promptresponse_clean_2020-11-12.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-11-12,2020-11-12 00:33:00 PST,GMT-08:00,1605169980111,Completed,2020-11-12,2020-11-12 00:36:42 PST,1605170202399,1,set_4,24,9,A little,A little,Quite a bit,A little,Moderately,Moderately,Moderately,Extremely,A little,Moderately,A little,A little,Not at all,A little,No,Did not have to work today,0,,,,,,,Extremely,A little,Might,No,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-11-13/phone_promptresponse_clean_2020-11-13.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-11-13,2020-11-13 00:20:00 PST,GMT-08:00,1605255600122,Completed,2020-11-13,2020-11-13 00:37:16 PST,1605256636477,2,set_1,25,9,Moderately,A little,Quite a bit,Not at all,Moderately,Moderately,Moderately,Moderately,Moderately,A little,A little,Quite a bit,Moderately,Moderately,No,No,0,,,,,,,Very much,,,,,,,,,,,,,,,,,,,,Not at all,Probably will not,No,but I had a goal
