.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x25_affmot_sleep,x26_int_sleep,x27_del_sleep
synapseevaluatechevron@timestudy_com/2021-04-11/phone_promptresponse_clean_2021-04-11.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-11,2021-04-11 20:42:00 EDT,GMT-04:00,1618188120287,Completed,2021-04-11,2021-04-11 20:47:24 EDT,1618188444850,2,set_1,48,9,Not at all,Quite a bit,A little,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,Quite a bit,Probably will,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not at all,Not at all,I am not experiencing viral symptoms,2 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-12/phone_promptresponse_clean_2021-04-12.csv,21,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-12,2021-04-12 20:46:00 EDT,GMT-04:00,1618274760173,Completed,2021-04-12,2021-04-12 20:47:04 EDT,1618274824206,1,set_2,23,9,Not at all,Moderately,Moderately,Not at all,Moderately,Not at all,A little,Quite a bit,A little,Very much so,Not at all,Moderately,A little,Moderately,Yes,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes
synapseevaluatechevron@timestudy_com/2021-04-13/phone_promptresponse_clean_2021-04-13.csv,23,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-13,2021-04-13 21:18:01 EDT,GMT-04:00,1618363081601,Completed,2021-04-13,2021-04-13 21:19:08 EDT,1618363148375,1,set_1,24,9,Not at all,Moderately,A little,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-14/phone_promptresponse_clean_2021-04-14.csv,24,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-14,2021-04-14 21:20:00 EDT,GMT-04:00,1618449600381,Completed,2021-04-14,2021-04-14 21:21:11 EDT,1618449671954,1,set_4,24,9,Not at all,Quite a bit,Moderately,Not at all,Moderately,A little,Not at all,Not at all,A little,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,
synapseevaluatechevron@timestudy_com/2021-04-15/phone_promptresponse_clean_2021-04-15.csv,21,synapseevaluatechevron,Daily,BURST,RANDOM,20,21,2021-04-15,2021-04-15 20:15:00 EDT,GMT-04:00,1618532100610,Completed,2021-04-15,2021-04-15 20:16:18 EDT,1618532178823,1,set_3,23,9,Not at all,Moderately,A little,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,Very much so,Quite a bit,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,,,,
synapseevaluatechevron@timestudy_com/2021-04-16/phone_promptresponse_clean_2021-04-16.csv,22,synapseevaluatechevron,Daily,BURST,RANDOM,21,22,2021-04-16,2021-04-16 21:46:00 EDT,GMT-04:00,1618623960511,Completed,2021-04-16,2021-04-16 22:01:44 EDT,1618624904060,2,set_1,25,9,Not at all,Extremely,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-17/phone_promptresponse_clean_2021-04-17.csv,21,synapseevaluatechevron,Daily,BURST,RANDOM,20,21,2021-04-17,2021-04-17 20:43:00 EDT,GMT-04:00,1618706580439,Completed,2021-04-17,2021-04-17 20:44:06 EDT,1618706646550,1,set_3,24,9,Not at all,Moderately,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Moderately,Not at all,Not at all,Moderately,Yes,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,
synapseevaluatechevron@timestudy_com/2021-04-18/phone_promptresponse_clean_2021-04-18.csv,21,synapseevaluatechevron,Daily,BURST,RANDOM,20,21,2021-04-18,2021-04-18 20:31:00 EDT,GMT-04:00,1618792260562,Completed,2021-04-18,2021-04-18 20:33:37 EDT,1618792417458,1,set_4,47,9,Not at all,Moderately,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,A little,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,No,0,Very much so,Probably will,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-19/phone_promptresponse_clean_2021-04-19.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-19,2021-04-19 21:44:00 EDT,GMT-04:00,1618883040576,Completed,2021-04-19,2021-04-19 21:44:52 EDT,1618883092074,1,set_3,23,9,Not at all,Moderately,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,,,,
synapseevaluatechevron@timestudy_com/2021-04-20/phone_promptresponse_clean_2021-04-20.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-20,2021-04-20 21:48:00 EDT,GMT-04:00,1618969680668,Completed,2021-04-20,2021-04-20 21:48:52 EDT,1618969732103,1,set_3,23,9,Not at all,Quite a bit,A little,A little,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Sort of,,,,
synapseevaluatechevron@timestudy_com/2021-04-21/phone_promptresponse_clean_2021-04-21.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-21,2021-04-21 21:37:00 EDT,GMT-04:00,1619055420634,Completed,2021-04-21,2021-04-21 21:38:29 EDT,1619055509022,1,set_1,25,9,Not at all,Quite a bit,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,Quite a bit,Probably will,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-22/phone_promptresponse_clean_2021-04-22.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-22,2021-04-22 21:22:00 EDT,GMT-04:00,1619140920287,Completed,2021-04-22,2021-04-22 21:23:09 EDT,1619140989738,1,set_1,24,9,Not at all,Quite a bit,Not at all,Not at all,Quite a bit,A little,Not at all,Not at all,Moderately,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,Quite a bit,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-23/phone_promptresponse_clean_2021-04-23.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-23,2021-04-23 21:32:00 EDT,GMT-04:00,1619227920483,Completed,2021-04-23,2021-04-23 21:34:52 EDT,1619228092750,1,set_1,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,A little,Not at all,Moderately,Quite a bit,Moderately,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-24/phone_promptresponse_clean_2021-04-24.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-24,2021-04-24 21:43:00 EDT,GMT-04:00,1619314980674,Completed,2021-04-24,2021-04-24 21:44:00 EDT,1619315040250,1,set_3,23,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Moderately,Quite a bit,Not at all,Very much so,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,
synapseevaluatechevron@timestudy_com/2021-04-25/phone_promptresponse_clean_2021-04-25.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-25,2021-04-25 21:38:00 EDT,GMT-04:00,1619401080695,Completed,2021-04-25,2021-04-25 21:41:20 EDT,1619401280931,1,set_2,47,9,Moderately,A little,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Yes,Yes,Yes,Yes,Sort of,Yes,A little,Not at all,I am not experiencing viral symptoms,2 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Not at all,,,,,Very much so,Definitely will,Yes
synapseevaluatechevron@timestudy_com/2021-04-26/phone_promptresponse_clean_2021-04-26.csv,21,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-26,2021-04-26 20:10:00 EDT,GMT-04:00,1619482200526,Completed,2021-04-26,2021-04-26 20:11:11 EDT,1619482271784,1,set_4,23,9,Not at all,Moderately,Not at all,Moderately,A little,Quite a bit,Not at all,A little,Very much so,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-27/phone_promptresponse_clean_2021-04-27.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-27,2021-04-27 21:16:00 EDT,GMT-04:00,1619572560545,Completed,2021-04-27,2021-04-27 21:18:05 EDT,1619572685466,1,set_1,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-28/phone_promptresponse_clean_2021-04-28.csv,21,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-28,2021-04-28 21:42:00 EDT,GMT-04:00,1619660520697,Completed,2021-04-28,2021-04-28 21:44:17 EDT,1619660657812,1,set_1,24,9,Not at all,Moderately,Not at all,A little,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-29/phone_promptresponse_clean_2021-04-29.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-29,2021-04-29 21:32:00 EDT,GMT-04:00,1619746320525,Completed,2021-04-29,2021-04-29 21:33:14 EDT,1619746394078,1,set_3,23,9,Extremely,A little,Moderately,Not at all,Quite a bit,Quite a bit,A little,A little,A little,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Sort of,,,,
synapseevaluatechevron@timestudy_com/2021-04-30/phone_promptresponse_clean_2021-04-30.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,22,23,2021-04-30,2021-04-30 22:45:00 EDT,GMT-04:00,1619837100418,Completed,2021-04-30,2021-04-30 22:46:17 EDT,1619837177539,1,set_3,23,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,A little,Moderately,Not at all,Quite a bit,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,
synapseevaluatechevron@timestudy_com/2021-05-01/phone_promptresponse_clean_2021-05-01.csv,23,synapseevaluatechevron,Daily,BURST,RANDOM,22,23,2021-05-01,2021-05-01 22:27:00 EDT,GMT-04:00,1619922420393,Completed,2021-05-01,2021-05-01 22:28:26 EDT,1619922506876,1,set_4,23,9,Not at all,Quite a bit,Not at all,A little,Extremely,Not at all,Not at all,Moderately,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-05-02/phone_promptresponse_clean_2021-05-02.csv,21,synapseevaluatechevron,Daily,BURST,RANDOM,20,21,2021-05-02,2021-05-02 20:26:00 EDT,GMT-04:00,1620001560648,Completed,2021-05-02,2021-05-02 20:35:30 EDT,1620002130977,2,set_2,48,9,Not at all,Moderately,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Not at all,Very much so,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Yes,Yes,Yes,Yes,Yes,Sort of,A little,Not at all,I am not experiencing viral symptoms,2 days,0 days,A lot more,A lot less,Neither more nor less,Not at all,Not at all,,,,,Very much so,Probably will,Yes
synapseevaluatechevron@timestudy_com/2021-05-03/phone_promptresponse_clean_2021-05-03.csv,22,synapseevaluatechevron,Daily,BURST,RANDOM,21,22,2021-05-03,2021-05-03 21:32:00 EDT,GMT-04:00,1620091920473,Completed,2021-05-03,2021-05-03 22:17:03 EDT,1620094623767,2,set_2,24,9,Not at all,Quite a bit,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat,Very much so,Definitely will,Yes
synapseevaluatechevron@timestudy_com/2021-05-04/phone_promptresponse_clean_2021-05-04.csv,23,synapseevaluatechevron,Daily,BURST,RANDOM,21,22,2021-05-04,2021-05-04 21:20:00 EDT,GMT-04:00,1620177600622,Completed,2021-05-04,2021-05-04 21:22:07 EDT,1620177727210,1,set_1,25,9,Extremely,Not at all,Extremely,Not at all,Not at all,Quite a bit,Extremely,Extremely,A little,Very much so,Moderately,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-05-05/phone_promptresponse_clean_2021-05-05.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-05-05,2021-05-05 21:43:00 EDT,GMT-04:00,1620265380883,Completed,2021-05-05,2021-05-05 21:43:49 EDT,1620265429856,1,set_2,24,9,Moderately,A little,Extremely,Not at all,A little,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,Moderately,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes
synapseevaluatechevron@timestudy_com/2021-05-06/phone_promptresponse_clean_2021-05-06.csv,21,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-05-06,2021-05-06 20:38:00 EDT,GMT-04:00,1620347880453,Completed,2021-05-06,2021-05-06 20:39:08 EDT,1620347948911,1,set_4,24,9,Not at all,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,Very much so,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-05-07/phone_promptresponse_clean_2021-05-07.csv,23,synapseevaluatechevron,Daily,TIME,RANDOM,23,0,2021-05-07,2021-05-07 23:28:00 EDT,GMT-04:00,1620444480456,Completed,2021-05-07,2021-05-07 23:37:52 EDT,1620445072514,2,set_4,23,9,Not at all,Quite a bit,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Quite a bit,Very much so,Very much so,A little,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-05-09/phone_promptresponse_clean_2021-05-09.csv,1,synapseevaluatechevron,Daily,TIME,RANDOM,0,1,2021-05-09,2021-05-09 00:40:00 EDT,GMT-04:00,1620535200832,Completed,2021-05-09,2021-05-09 00:41:52 EDT,1620535312364,1,set_2,47,9,Not at all,Extremely,Not at all,Not at all,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Very much so,No,No,0,,,,,,,,Sort of,Yes,Yes,No,Sort of,Yes,Moderately,Moderately,I am not experiencing viral symptoms,3 days,2 days,More,Less,More,Moderate,Moderate,,,,,Quite a bit,Definitely will,Yes
synapseevaluatechevron@timestudy_com/2021-05-09/phone_promptresponse_clean_2021-05-09.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-05-09,2021-05-09 21:38:00 EDT,GMT-04:00,1620610680521,Completed,2021-05-09,2021-05-09 21:40:49 EDT,1620610849419,1,set_4,49,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Quite a bit,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,No,No,Not really,No,Sort of,Yes,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,Not at all,,,
synapseevaluatechevron@timestudy_com/2021-05-10/phone_promptresponse_clean_2021-05-10.csv,23,synapseevaluatechevron,Daily,TIME,RANDOM,22,23,2021-05-10,2021-05-10 22:35:00 EDT,GMT-04:00,1620700500393,Completed,2021-05-10,2021-05-10 22:35:56 EDT,1620700556564,1,set_4,23,9,Moderately,Quite a bit,Not at all,Quite a bit,Quite a bit,A little,Not at all,Moderately,A little,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-05-11/phone_promptresponse_clean_2021-05-11.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-05-11,2021-05-11 21:42:00 EDT,GMT-04:00,1620783720555,Completed,2021-05-11,2021-05-11 21:43:17 EDT,1620783797795,1,set_2,23,9,Moderately,Not at all,Not at all,Moderately,Quite a bit,A little,Moderately,Moderately,A little,Moderately,Not at all,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Trying to decide
synapseevaluatechevron@timestudy_com/2021-05-12/phone_promptresponse_clean_2021-05-12.csv,23,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-05-12,2021-05-12 21:30:00 EDT,GMT-04:00,1620869400468,Completed,2021-05-12,2021-05-12 21:36:50 EDT,1620869810565,2,set_1,25,9,Not at all,Extremely,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,Very much so,Probably will,Yes,Yes,,,,,,,,,,,,,,,,,,,,A little bit,,,
synapseevaluatechevron@timestudy_com/2021-05-13/phone_promptresponse_clean_2021-05-13.csv,23,synapseevaluatechevron,Daily,BURST,RANDOM,21,22,2021-05-13,2021-05-13 21:33:00 EDT,GMT-04:00,1620955980450,Completed,2021-05-13,2021-05-13 22:19:45 EDT,1620958785346,2,set_3,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,A little,A little,A little,A little,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,
