.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
rangerabrasivedislike@timestudy_com/2021-03-13/phone_promptresponse_clean_2021-03-13.csv,18,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-13,2021-03-13 21:17:00 CST,GMT-06:00,1615691820157,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-14/phone_promptresponse_clean_2021-03-14.csv,29,rangerabrasivedislike,Daily,TIME,RANDOM,22,23,2021-03-14,2021-03-14 22:47:07 CDT,GMT-05:00,1615780027135,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-15/phone_promptresponse_clean_2021-03-15.csv,23,rangerabrasivedislike,Daily,TIME,RANDOM,22,23,2021-03-15,2021-03-15 22:30:00 CDT,GMT-05:00,1615865400150,Completed,2021-03-15,2021-03-15 22:33:38 CDT,1615865618805,1,set_2,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Extremely,A little,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,A little,A little,No,Did not have to work today,0,Quite a bit,Probably will,Yes,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-16/phone_promptresponse_clean_2021-03-16.csv,17,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-16,2021-03-16 21:35:00 CDT,GMT-05:00,1615948500311,Completed,2021-03-16,2021-03-16 21:36:17 CDT,1615948577717,1,set_3,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Moderately,A little,A little,Very much so,No,No,0,,,,A little,Probably will not,Not really,Not at all,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-17/phone_promptresponse_clean_2021-03-17.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,22,23,2021-03-17,2021-03-17 22:30:00 CDT,GMT-05:00,1616038200261,Completed,2021-03-17,2021-03-17 22:31:14 CDT,1616038274617,1,set_4,23,9,Extremely,Moderately,Extremely,A little,Not at all,Quite a bit,Extremely,Extremely,Quite a bit,A little,Not at all,Not at all,Moderately,Quite a bit,Not sure,No,0,,,,,,,,,,,,,,,,,Not at all,Probably will not,,Not really,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-18/phone_promptresponse_clean_2021-03-18.csv,9,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-18,2021-03-18 21:20:00 CDT,GMT-05:00,1616120400201,Completed,2021-03-18,2021-03-18 21:21:31 CDT,1616120491747,1,set_4,23,9,A little,Quite a bit,Moderately,A little,A little,A little,A little,Extremely,A little,Moderately,A little,A little,A little,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,A little,Might,,Not really,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-19/phone_promptresponse_clean_2021-03-19.csv,18,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-19,2021-03-19 21:13:00 CDT,GMT-05:00,1616206380168,Completed,2021-03-19,2021-03-19 21:31:28 CDT,1616207488768,2,set_3,24,9,A little,Quite a bit,Moderately,Moderately,A little,A little,Moderately,Moderately,Not at all,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,,,,A little,Probably will not,Not really,Not at all,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-20/phone_promptresponse_clean_2021-03-20.csv,23,rangerabrasivedislike,Daily,BURST,RANDOM,22,23,2021-03-20,2021-03-20 22:28:00 CDT,GMT-05:00,1616297280100,Completed,2021-03-20,2021-03-20 22:30:14 CDT,1616297414643,1,set_3,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,A little,A little,Not at all,Moderately,Not at all,A little,A little,Moderately,No,No,0,,,,Very much so,Probably will,Sort of,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-21/phone_promptresponse_clean_2021-03-21.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-03-21,2021-03-21 21:43:00 CDT,GMT-05:00,1616380980271,Completed,2021-03-21,2021-03-21 21:47:31 CDT,1616381251271,1,set_2,47,9,Not at all,Extremely,A little,Quite a bit,Extremely,A little,Not at all,Not at all,Not at all,Quite a bit,Moderately,A little,A little,Quite a bit,No,Did not have to work today,0,Quite a bit,Might,Yes,,,,,,,,,Sort of,Yes,Not really,Yes,Not really,,,Yes,,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Quite a bit
rangerabrasivedislike@timestudy_com/2021-03-22/phone_promptresponse_clean_2021-03-22.csv,21,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-03-22,2021-03-22 21:35:00 CDT,GMT-05:00,1616466900252,Completed,2021-03-22,2021-03-22 21:36:04 CDT,1616466964198,1,set_1,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Quite a bit,A little,A little,Not at all,Quite a bit,No,No,0,,,,,,,,Quite a bit,Probably will,Yes,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-23/phone_promptresponse_clean_2021-03-23.csv,21,rangerabrasivedislike,Daily,BURST,RANDOM,20,21,2021-03-23,2021-03-23 20:35:00 CDT,GMT-05:00,1616549700101,Completed,2021-03-23,2021-03-23 20:36:42 CDT,1616549802723,1,set_1,25,9,Not at all,Extremely,A little,Quite a bit,Extremely,A little,A little,A little,A little,Very much so,Moderately,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,A little bit,Quite a bit,Definitely will,Yes,Maybe,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-24/phone_promptresponse_clean_2021-03-24.csv,15,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-03-24,2021-03-24 20:28:00 CDT,GMT-05:00,1616635680222,Completed,2021-03-24,2021-03-24 20:28:58 CDT,1616635738440,1,set_4,23,9,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,Very much so,Probably will,,Not really,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-25/phone_promptresponse_clean_2021-03-25.csv,12,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-25,2021-03-25 21:27:00 CDT,GMT-05:00,1616725620113,Completed,2021-03-25,2021-03-25 22:27:02 CDT,1616729222522,2,set_1,24,9,Not at all,Quite a bit,A little,Moderately,Moderately,Moderately,A little,A little,Not at all,Not at all,Moderately,A little,A little,Not at all,No,No,0,,,,,,,,A little,Might,Not really,No,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-26/phone_promptresponse_clean_2021-03-26.csv,12,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-26,2021-03-26 21:32:00 CDT,GMT-05:00,1616812320150,Completed,2021-03-26,2021-03-26 22:51:17 CDT,1616817077151,2,set_3,24,9,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,A little,No,Did not have to work today,0,,,,Quite a bit,Might,Not really,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-27/phone_promptresponse_clean_2021-03-27.csv,22,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-27,2021-03-27 21:48:00 CDT,GMT-05:00,1616899680113,Completed,2021-03-27,2021-03-27 22:07:24 CDT,1616900844428,2,set_3,24,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,A little,Not at all,A little,Moderately,No,Did not have to work today,0,,,,A little,Probably will,Yes,Not at all,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-28/phone_promptresponse_clean_2021-03-28.csv,22,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-28,2021-03-28 21:19:00 CDT,GMT-05:00,1616984340661,Completed,2021-03-28,2021-03-28 21:25:16 CDT,1616984716925,2,set_2,47,9,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Moderately,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,A little,Might,Trying to decide,,,,,,,,,Sort of,Yes,Not really,but had a goal,Not really,,,Not really,,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Moderate
rangerabrasivedislike@timestudy_com/2021-03-29/phone_promptresponse_clean_2021-03-29.csv,14,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-03-29,2021-03-29 20:42:00 CDT,GMT-05:00,1617068520120,Completed,2021-03-29,2021-03-29 20:52:54 CDT,1617069174376,2,set_1,24,9,Not at all,Extremely,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Moderately,Not at all,A little,Very much so,No,No,0,,,,,,,,Quite a bit,Might,Yes,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-30/phone_promptresponse_clean_2021-03-30.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-30,2021-03-30 21:48:00 CDT,GMT-05:00,1617158880115,Completed,2021-03-30,2021-03-30 22:54:06 CDT,1617162846332,2,set_2,23,9,Moderately,Quite a bit,A little,Moderately,Moderately,A little,Quite a bit,A little,A little,Quite a bit,A little,A little,Quite a bit,Moderately,No,No,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-31/phone_promptresponse_clean_2021-03-31.csv,22,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-31,2021-03-31 21:40:00 CDT,GMT-05:00,1617244800238,Completed,2021-03-31,2021-03-31 22:30:07 CDT,1617247807183,2,set_1,24,9,A little,Quite a bit,Moderately,A little,Moderately,A little,Moderately,A little,A little,Quite a bit,A little,Moderately,A little,Moderately,No,No,0,,,,,,,,Quite a bit,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-01/phone_promptresponse_clean_2021-04-01.csv,21,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-04-01,2021-04-01 20:38:00 CDT,GMT-05:00,1617327480291,Completed,2021-04-01,2021-04-01 20:45:11 CDT,1617327911392,2,set_2,23,9,A little,Extremely,A little,Quite a bit,Extremely,Not at all,Moderately,A little,A little,Quite a bit,Moderately,A little,A little,Moderately,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-02/phone_promptresponse_clean_2021-04-02.csv,17,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-04-02,2021-04-02 20:19:00 CDT,GMT-05:00,1617412740255,Completed,2021-04-02,2021-04-02 20:26:18 CDT,1617413178034,2,set_1,24,9,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Moderately,A little,A little,Very much so,No,No,0,,,,,,,,A little,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-03/phone_promptresponse_clean_2021-04-03.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,22,23,2021-04-03,2021-04-03 22:16:54 CDT,GMT-05:00,1617506214859,Completed,2021-04-03,2021-04-03 22:19:02 CDT,1617506342034,1,set_4,23,9,Not at all,Quite a bit,A little,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,A little,A little,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-04/phone_promptresponse_clean_2021-04-04.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-04-04,2021-04-04 21:32:00 CDT,GMT-05:00,1617589920254,Completed,2021-04-04,2021-04-04 21:36:34 CDT,1617590194645,1,set_3,48,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Moderately,A little,A little,Very much so,No,No,0,,,,Very much so,Definitely will,Yes,Very much,,,,,Yes,Yes,Sort of,Yes,Sort of,,,Sort of,,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Quite a bit
rangerabrasivedislike@timestudy_com/2021-04-05/phone_promptresponse_clean_2021-04-05.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-04-05,2021-04-05 21:41:00 CDT,GMT-05:00,1617676860263,Completed,2021-04-05,2021-04-05 21:50:11 CDT,1617677411003,2,set_3,23,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,A little,A little,Not at all,Not at all,Very much so,A little,Moderately,Not at all,Very much so,No,Did not have to work today,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-06/phone_promptresponse_clean_2021-04-06.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-04-06,2021-04-06 21:22:00 CDT,GMT-05:00,1617762120252,Completed,2021-04-06,2021-04-06 22:27:48 CDT,1617766068216,2,set_3,23,9,Not at all,Extremely,A little,Extremely,Extremely,Not at all,A little,Not at all,Not at all,Very much so,Moderately,A little,Not at all,Very much so,No,No,0,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-07/phone_promptresponse_clean_2021-04-07.csv,8,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-04-07,2021-04-07 21:39:00 CDT,GMT-05:00,1617849540241,Completed,2021-04-07,2021-04-07 22:34:55 CDT,1617852895422,2,set_4,23,9,Not at all,Extremely,Moderately,Quite a bit,Extremely,A little,A little,A little,Not at all,Very much so,A little,A little,Moderately,Very much so,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Yes,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-09/phone_promptresponse_clean_2021-04-09.csv,1,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-04-08,2021-04-08 21:42:00 CDT,GMT-05:00,1617936120286,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-09/phone_promptresponse_clean_2021-04-09.csv,15,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-04-09,2021-04-09 21:20:00 CDT,GMT-05:00,1618021200279,Completed,2021-04-09,2021-04-09 21:25:41 CDT,1618021541112,2,set_3,23,9,Not at all,Extremely,Moderately,A little,Quite a bit,A little,Not at all,Not at all,Not at all,Moderately,Moderately,Moderately,Quite a bit,A little,Yes,Did not have to work today,0,,,,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-10/phone_promptresponse_clean_2021-04-10.csv,22,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-04-10,2021-04-10 21:26:00 CDT,GMT-05:00,1618107960261,Completed,2021-04-10,2021-04-10 21:49:01 CDT,1618109341074,2,set_2,23,9,Moderately,Quite a bit,Moderately,A little,Moderately,A little,A little,Moderately,Not at all,Moderately,Moderately,A little,Quite a bit,A little,Yes,Did not have to work today,0,A little,Probably will,Not thought about it,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-11/phone_promptresponse_clean_2021-04-11.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-04-11,2021-04-11 20:32:00 CDT,GMT-05:00,1618191120269,Completed,2021-04-11,2021-04-11 20:40:47 CDT,1618191647392,2,set_3,47,9,A little,Extremely,Moderately,Moderately,Quite a bit,A little,Moderately,Moderately,Not at all,Moderately,A little,Quite a bit,Quite a bit,Moderately,Yes,Did not have to work today,0,,,,Very much so,Definitely will,Yes,,,,,,Sort of,No,Yes,Yes,Yes,,,Yes,,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Moderate
rangerabrasivedislike@timestudy_com/2021-04-12/phone_promptresponse_clean_2021-04-12.csv,18,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-04-12,2021-04-12 20:21:00 CDT,GMT-05:00,1618276860315,Completed,2021-04-12,2021-04-12 20:29:37 CDT,1618277377917,2,set_1,26,9,A little,Quite a bit,Quite a bit,Moderately,Moderately,Not at all,Quite a bit,A little,A little,Very much so,Moderately,Not at all,Quite a bit,Moderately,Yes,No,0,,,,,,,A little bit,A little,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-13/phone_promptresponse_clean_2021-04-13.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-04-13,2021-04-13 20:19:00 CDT,GMT-05:00,1618363140294,Completed,2021-04-13,2021-04-13 20:20:50 CDT,1618363250102,1,set_1,24,9,Not at all,Extremely,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Moderately,A little,A little,Quite a bit,Yes,No,0,,,,,,,,A little,Probably will,Yes,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-14/phone_promptresponse_clean_2021-04-14.csv,18,rangerabrasivedislike,Daily,TIME,RANDOM,19,20,2021-04-14,2021-04-14 19:21:47 CDT,GMT-05:00,1618446107281,Completed,2021-04-14,2021-04-14 19:23:00 CDT,1618446180451,1,set_4,24,9,A little,Quite a bit,Moderately,Moderately,Moderately,A little,Moderately,A little,Not at all,Moderately,A little,Moderately,Quite a bit,Moderately,Yes,No,0,,,,,,,A little bit,,,,,,,,,,A little,Might,,Sort of,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-15/phone_promptresponse_clean_2021-04-15.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,19,20,2021-04-15,2021-04-15 19:49:00 CDT,GMT-05:00,1618534140282,Completed,2021-04-15,2021-04-15 20:27:20 CDT,1618536440223,2,set_1,26,9,Quite a bit,Moderately,Extremely,Not at all,Moderately,Quite a bit,Quite a bit,Moderately,A little,Not at all,Not at all,Very much so,Quite a bit,Not at all,Yes,Yes,0,,,,,,,Not at all,Not at all,Definitely will not,No,No,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-16/phone_promptresponse_clean_2021-04-16.csv,20,rangerabrasivedislike,Daily,TIME,RANDOM,19,20,2021-04-16,2021-04-16 19:32:00 CDT,GMT-05:00,1618619520289,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-04-17/phone_promptresponse_clean_2021-04-17.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,22,23,2021-04-17,2021-04-17 22:29:00 CDT,GMT-05:00,1618716540198,Completed,2021-04-17,2021-04-17 22:30:01 CDT,1618716601853,1,set_4,24,9,Moderately,Quite a bit,A little,Moderately,Quite a bit,Quite a bit,A little,Moderately,A little,A little,Moderately,Quite a bit,Moderately,A little,Yes,Did not have to work today,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
