.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep
reliablydetaildebate@timestudy_com/2021-06-21/phone_promptresponse_clean_2021-06-21.csv,21,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-06-21,2021-06-21 20:47:00 PDT,GMT-07:00,1624333620177,Completed,2021-06-21,2021-06-21 20:48:00 PDT,1624333680947,1,set_2,23,9,Moderately,A little,Extremely,A little,A little,Moderately,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Yes
reliablydetaildebate@timestudy_com/2021-06-22/phone_promptresponse_clean_2021-06-22.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-22,2021-06-22 20:42:00 PDT,GMT-07:00,1624419720166,Completed,2021-06-22,2021-06-22 21:05:15 PDT,1624421115452,2,set_3,24,9,Not at all,Moderately,Quite a bit,Moderately,Moderately,A little,Not at all,Not at all,Not at all,Moderately,Very much so,A little,Not at all,Quite a bit,No,No,0,,,,,,,,A little,Might,Not really,,,,,,,,,,,,,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-23/phone_promptresponse_clean_2021-06-23.csv,20,reliablydetaildebate,Daily,TIME,RANDOM,19,20,2021-06-23,2021-06-23 19:37:00 PDT,GMT-07:00,1624502220203,Completed,2021-06-23,2021-06-23 19:48:50 PDT,1624502930190,2,set_3,23,9,A little,A little,Moderately,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,Moderately,No,No,0,,,,,,,,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-24/phone_promptresponse_clean_2021-06-24.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-06-24,2021-06-24 21:26:00 PDT,GMT-07:00,1624595160146,Completed,2021-06-24,2021-06-24 21:28:11 PDT,1624595291271,1,set_3,23,9,Moderately,A little,Not at all,Not at all,Quite a bit,A little,A little,Moderately,A little,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-25/phone_promptresponse_clean_2021-06-25.csv,36,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-06-25,2021-06-25 21:34:00 PDT,GMT-07:00,1624682040145,Completed,2021-06-25,2021-06-25 21:35:26 PDT,1624682126663,1,set_3,25,9,Moderately,A little,Not at all,A little,A little,Moderately,A little,A little,Not at all,Moderately,Very much so,Not at all,Not at all,Moderately,No,No,0,,,,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-27/phone_promptresponse_clean_2021-06-27.csv,17,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-06-27,2021-06-27 21:16:00 PDT,GMT-07:00,1624853760199,Completed,2021-06-27,2021-06-27 21:22:32 PDT,1624854152942,2,set_2,47,9,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Sort of,Yes,Sort of,Maybe,,,,Sort of,Sort of,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,Very much so,Probably will,No
reliablydetaildebate@timestudy_com/2021-06-28/phone_promptresponse_clean_2021-06-28.csv,20,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-28,2021-06-28 20:18:00 PDT,GMT-07:00,1624936680228,Completed,2021-06-28,2021-06-28 20:19:18 PDT,1624936758860,1,set_4,23,9,A little,Moderately,Extremely,Not at all,Moderately,Not at all,Not at all,A little,Not at all,Moderately,Very much so,Not at all,Not at all,Moderately,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-29/phone_promptresponse_clean_2021-06-29.csv,19,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-29,2021-06-29 20:39:00 PDT,GMT-07:00,1625024340167,Completed,2021-06-29,2021-06-29 20:40:13 PDT,1625024413752,1,set_1,24,9,A little,A little,Moderately,Not at all,A little,A little,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Not really,but I had a goal,,,
reliablydetaildebate@timestudy_com/2021-06-30/phone_promptresponse_clean_2021-06-30.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-30,2021-06-30 20:32:00 PDT,GMT-07:00,1625110320200,Completed,2021-06-30,2021-06-30 20:32:58 PDT,1625110378310,1,set_4,23,9,Moderately,A little,A little,A little,Moderately,A little,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,No,0,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-01/phone_promptresponse_clean_2021-07-01.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-01,2021-07-01 21:22:00 PDT,GMT-07:00,1625199720227,Completed,2021-07-01,2021-07-01 21:23:11 PDT,1625199791810,1,set_2,24,9,A little,Moderately,A little,Moderately,Moderately,Not at all,Not at all,A little,Not at all,Moderately,Very much so,A little,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,,A little,Probably will,Trying to decide
reliablydetaildebate@timestudy_com/2021-07-02/phone_promptresponse_clean_2021-07-02.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-02,2021-07-02 21:40:00 PDT,GMT-07:00,1625287200217,Completed,2021-07-02,2021-07-02 21:41:50 PDT,1625287310414,1,set_1,24,9,A little,Moderately,A little,Moderately,Moderately,A little,Not at all,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Definitely will,Yes,Maybe,,,
reliablydetaildebate@timestudy_com/2021-07-03/phone_promptresponse_clean_2021-07-03.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-03,2021-07-03 21:43:00 PDT,GMT-07:00,1625373780173,Completed,2021-07-03,2021-07-03 21:51:30 PDT,1625374290809,2,set_1,24,9,Not at all,Quite a bit,A little,Moderately,Moderately,A little,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Not really,Yes,,,
reliablydetaildebate@timestudy_com/2021-07-04/phone_promptresponse_clean_2021-07-04.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-04,2021-07-04 21:40:00 PDT,GMT-07:00,1625460000211,Completed,2021-07-04,2021-07-04 21:43:20 PDT,1625460200974,1,set_3,47,9,Moderately,A little,Not at all,Moderately,Quite a bit,Moderately,A little,Not at all,A little,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,Sort of,Yes,Sort of,Yes,Quite a bit,Probably will,No,Not really,Yes,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-05/phone_promptresponse_clean_2021-07-05.csv,20,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-07-05,2021-07-05 20:44:00 PDT,GMT-07:00,1625543040252,Completed,2021-07-05,2021-07-05 20:46:50 PDT,1625543210314,1,set_2,24,9,Not at all,Moderately,Moderately,A little,Quite a bit,A little,A little,Moderately,Not at all,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,,A little,Probably will,Yes
reliablydetaildebate@timestudy_com/2021-07-06/phone_promptresponse_clean_2021-07-06.csv,21,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-07-06,2021-07-06 20:33:00 PDT,GMT-07:00,1625628780199,Completed,2021-07-06,2021-07-06 20:51:51 PDT,1625629911957,2,set_4,23,9,A little,Quite a bit,A little,Moderately,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Moderately,A little,Not at all,Moderately,No,No,0,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-07/phone_promptresponse_clean_2021-07-07.csv,21,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-07-07,2021-07-07 20:33:00 PDT,GMT-07:00,1625715180691,Completed,2021-07-07,2021-07-07 20:35:29 PDT,1625715329284,1,set_4,24,9,Moderately,Moderately,A little,A little,Moderately,A little,Not at all,Not at all,A little,Quite a bit,Very much so,A little,Not at all,Moderately,No,No,0,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-08/phone_promptresponse_clean_2021-07-08.csv,22,reliablydetaildebate,Daily,BURST,RANDOM,22,23,2021-07-08,2021-07-08 22:23:00 PDT,GMT-07:00,1625808180165,Completed,2021-07-08,2021-07-08 22:27:08 PDT,1625808428724,1,set_4,24,9,A little,Moderately,A little,Moderately,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Quite a bit,A little,Not at all,A little,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,A little bit,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-10/phone_promptresponse_clean_2021-07-10.csv,24,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-07-10,2021-07-10 20:33:00 PDT,GMT-07:00,1625974380686,Completed,2021-07-10,2021-07-10 20:34:44 PDT,1625974484891,1,set_2,23,9,Not at all,Quite a bit,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Yes
reliablydetaildebate@timestudy_com/2021-07-11/phone_promptresponse_clean_2021-07-11.csv,23,reliablydetaildebate,Daily,TIME,RANDOM,22,23,2021-07-11,2021-07-11 22:23:00 PDT,GMT-07:00,1626067380172,Completed,2021-07-11,2021-07-11 22:31:26 PDT,1626067886853,2,set_1,48,9,Not at all,Extremely,Quite a bit,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Sort of,Yes,Yes,Maybe,,,,Not really,Sort of,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,Not at all,Definitely will not,No,Yes,,,
reliablydetaildebate@timestudy_com/2021-07-12/phone_promptresponse_clean_2021-07-12.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-07-12,2021-07-12 20:34:00 PDT,GMT-07:00,1626147240070,Completed,2021-07-12,2021-07-12 20:37:09 PDT,1626147429973,1,set_4,24,9,A little,Moderately,Quite a bit,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Not at all,No,No,0,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-13/phone_promptresponse_clean_2021-07-13.csv,27,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-07-13,2021-07-13 20:40:00 PDT,GMT-07:00,1626234000225,Completed,2021-07-13,2021-07-13 20:42:26 PDT,1626234146232,1,set_3,24,9,Not at all,Moderately,Moderately,A little,Moderately,A little,Not at all,Not at all,Moderately,Very much so,Very much so,Not at all,Not at all,A little,No,No,0,,,,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-14/phone_promptresponse_clean_2021-07-14.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-07-14,2021-07-14 20:27:00 PDT,GMT-07:00,1626319620171,Completed,2021-07-14,2021-07-14 20:28:58 PDT,1626319738455,1,set_3,24,9,Moderately,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,A little,Not at all,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-15/phone_promptresponse_clean_2021-07-15.csv,23,reliablydetaildebate,Daily,TIME,RANDOM,22,23,2021-07-15,2021-07-15 22:24:02 PDT,GMT-07:00,1626413042492,Completed,2021-07-15,2021-07-15 22:49:45 PDT,1626414585461,2,set_3,24,9,Quite a bit,Moderately,A little,Quite a bit,Quite a bit,A little,A little,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,A little,No,No,0,,,,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-16/phone_promptresponse_clean_2021-07-16.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-16,2021-07-16 21:31:00 PDT,GMT-07:00,1626496260166,Completed,2021-07-16,2021-07-16 21:32:12 PDT,1626496332785,1,set_4,23,9,Quite a bit,Moderately,A little,Moderately,Quite a bit,A little,A little,A little,A little,Quite a bit,Very much so,A little,Not at all,Moderately,No,No,0,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-17/phone_promptresponse_clean_2021-07-17.csv,22,reliablydetaildebate,Daily,BURST,RANDOM,21,22,2021-07-17,2021-07-17 21:23:00 PDT,GMT-07:00,1626582180147,Completed,2021-07-17,2021-07-17 21:24:15 PDT,1626582255986,1,set_4,24,9,A little,Extremely,A little,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-18/phone_promptresponse_clean_2021-07-18.csv,21,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-07-18,2021-07-18 20:47:00 PDT,GMT-07:00,1626666420170,Completed,2021-07-18,2021-07-18 20:49:22 PDT,1626666562625,1,set_3,47,9,A little,Quite a bit,A little,Moderately,Quite a bit,A little,A little,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,Sort of,Maybe,Yes,Yes,A little,Probably will,Sort of,Sort of,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-19/phone_promptresponse_clean_2021-07-19.csv,23,reliablydetaildebate,Daily,BURST,RANDOM,21,22,2021-07-19,2021-07-19 21:23:00 PDT,GMT-07:00,1626754980106,Completed,2021-07-19,2021-07-19 21:23:55 PDT,1626755035502,1,set_1,24,9,Not at all,Moderately,Moderately,A little,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,but I had a goal,,,
reliablydetaildebate@timestudy_com/2021-07-20/phone_promptresponse_clean_2021-07-20.csv,22,reliablydetaildebate,Daily,BURST,RANDOM,21,22,2021-07-20,2021-07-20 21:20:00 PDT,GMT-07:00,1626841200194,Completed,2021-07-20,2021-07-20 21:36:09 PDT,1626842169805,2,set_3,24,9,Moderately,Moderately,Moderately,A little,A little,A little,Moderately,Not at all,Not at all,Quite a bit,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,A little bit,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-21/phone_promptresponse_clean_2021-07-21.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-21,2021-07-21 21:20:00 PDT,GMT-07:00,1626927600177,Completed,2021-07-21,2021-07-21 21:21:00 PDT,1626927660171,1,set_1,24,9,Moderately,Moderately,Quite a bit,A little,Quite a bit,Not at all,A little,A little,Moderately,Very much so,Very much so,A little,A little,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,Yes,,,
reliablydetaildebate@timestudy_com/2021-07-22/phone_promptresponse_clean_2021-07-22.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-22,2021-07-22 21:38:00 PDT,GMT-07:00,1627015080152,Completed,2021-07-22,2021-07-22 21:39:22 PDT,1627015162831,1,set_1,24,9,Quite a bit,A little,A little,Moderately,Moderately,A little,Moderately,Moderately,Not at all,Very much so,Very much so,A little,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,Yes,,,
reliablydetaildebate@timestudy_com/2021-07-23/phone_promptresponse_clean_2021-07-23.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-23,2021-07-23 21:13:00 PDT,GMT-07:00,1627099980157,Completed,2021-07-23,2021-07-23 21:14:31 PDT,1627100071046,1,set_1,25,9,Moderately,A little,A little,A little,Moderately,A little,Moderately,A little,A little,Quite a bit,Very much so,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,Yes,,,
reliablydetaildebate@timestudy_com/2021-07-24/phone_promptresponse_clean_2021-07-24.csv,23,reliablydetaildebate,Daily,TIME,RANDOM,22,23,2021-07-24,2021-07-24 22:45:00 PDT,GMT-07:00,1627191900199,Completed,2021-07-24,2021-07-24 22:45:53 PDT,1627191953878,1,set_4,24,9,Moderately,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-25/phone_promptresponse_clean_2021-07-25.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-25,2021-07-25 21:20:00 PDT,GMT-07:00,1627273200132,Completed,2021-07-25,2021-07-25 21:24:30 PDT,1627273470950,1,set_3,47,9,Moderately,A little,Not at all,A little,Quite a bit,A little,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,A little,Moderately,No,No,0,,,,Sort of,Yes,Sort of,Maybe,Quite a bit,Definitely will,Sort of,Sort of,Yes,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,,
reliablydetaildebate@timestudy_com/2021-07-26/phone_promptresponse_clean_2021-07-26.csv,22,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-07-26,2021-07-26 21:15:00 PDT,GMT-07:00,1627359300141,Completed,2021-07-26,2021-07-26 21:16:02 PDT,1627359362650,1,set_3,24,9,Moderately,Quite a bit,Not at all,A little,Moderately,A little,A little,A little,Not at all,Quite a bit,Very much so,A little,Not at all,Moderately,No,No,0,,,,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,Not at all,,,,,,,
