.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage
doorpostthesisjubilance@timestudy_com/2020-11-10/phone_promptresponse_clean_2020-11-10.csv,20,doorpostthesisjubilance,Daily,BURST,RANDOM,20,21,2020-11-10,2020-11-10 20:33:00 PST,GMT-08:00,1605069180217,Completed,2020-11-10,2020-11-10 20:34:35 PST,1605069275592,1,set_2,24,9,Moderately,Quite a bit,Not at all,A little,Moderately,A little,A little,Moderately,A little,A little,A little,Quite a bit,Moderately,Quite a bit,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Probably will,Not thought about it,A little bit
doorpostthesisjubilance@timestudy_com/2020-11-11/phone_promptresponse_clean_2020-11-11.csv,19,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-11-11,2020-11-11 19:23:00 PST,GMT-08:00,1605151380127,Completed,2020-11-11,2020-11-11 19:24:56 PST,1605151496536,1,set_1,25,9,A little,Quite a bit,A little,Moderately,A little,Moderately,Moderately,A little,A little,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,No,Did not have to work today,0,A little,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all
doorpostthesisjubilance@timestudy_com/2020-11-12/phone_promptresponse_clean_2020-11-12.csv,15,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-11-12,2020-11-12 19:48:00 PST,GMT-08:00,1605239280142,Completed,2020-11-12,2020-11-12 20:58:18 PST,1605243498093,2,set_2,23,9,Moderately,Moderately,Moderately,A little,Quite a bit,Moderately,A little,Moderately,Not at all,A little,A little,Very much so,Moderately,Quite a bit,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Yes,
doorpostthesisjubilance@timestudy_com/2020-11-13/phone_promptresponse_clean_2020-11-13.csv,24,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-13,2020-11-13 19:39:00 PST,GMT-08:00,1605325140133,Completed,2020-11-13,2020-11-13 19:40:39 PST,1605325239984,1,set_3,23,9,A little,Extremely,Quite a bit,Moderately,Quite a bit,A little,Moderately,A little,A little,Quite a bit,Very much so,Quite a bit,Moderately,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,,,,
doorpostthesisjubilance@timestudy_com/2020-11-14/phone_promptresponse_clean_2020-11-14.csv,22,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-14,2020-11-14 20:37:00 PST,GMT-08:00,1605415020181,Completed,2020-11-14,2020-11-14 20:38:29 PST,1605415109148,1,set_3,24,9,A little,Quite a bit,Quite a bit,Moderately,Quite a bit,A little,Moderately,Quite a bit,Not at all,Very much so,A little,Very much so,Moderately,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,,,,Not at all
doorpostthesisjubilance@timestudy_com/2020-11-15/phone_promptresponse_clean_2020-11-15.csv,19,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-15,2020-11-15 19:45:00 PST,GMT-08:00,1605498300180,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-17/phone_promptresponse_clean_2020-11-17.csv,23,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-17,2020-11-17 20:45:00 PST,GMT-08:00,1605674700203,Completed,2020-11-17,2020-11-17 20:47:03 PST,1605674823169,1,set_3,23,9,Moderately,A little,Not at all,Quite a bit,Moderately,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,Very much so,Quite a bit,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,,,,
doorpostthesisjubilance@timestudy_com/2020-11-19/phone_promptresponse_clean_2020-11-19.csv,20,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-11-19,2020-11-19 19:33:00 PST,GMT-08:00,1605843180247,Completed,2020-11-19,2020-11-19 19:34:35 PST,1605843275594,1,set_1,24,9,Moderately,A little,Not at all,Moderately,Quite a bit,A little,Moderately,Moderately,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,No,No,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-20/phone_promptresponse_clean_2020-11-20.csv,19,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-11-20,2020-11-20 19:19:00 PST,GMT-08:00,1605928740108,Completed,2020-11-20,2020-11-20 20:16:15 PST,1605932175223,2,set_2,23,9,Quite a bit,Moderately,A little,Moderately,Moderately,Moderately,Extremely,Extremely,Moderately,A little,Moderately,Quite a bit,Quite a bit,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Trying to decide,
doorpostthesisjubilance@timestudy_com/2020-11-21/phone_promptresponse_clean_2020-11-21.csv,18,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-11-21,2020-11-21 19:24:00 PST,GMT-08:00,1606015440157,Completed,2020-11-21,2020-11-21 19:29:05 PST,1606015745619,2,set_1,24,9,Moderately,A little,Quite a bit,Moderately,Quite a bit,A little,Moderately,A little,A little,Moderately,Moderately,Quite a bit,Moderately,Moderately,No,Did not have to work today,0,A little,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-22/phone_promptresponse_clean_2020-11-22.csv,21,doorpostthesisjubilance,Daily,BURST,RANDOM,20,21,2020-11-22,2020-11-22 20:16:00 PST,GMT-08:00,1606104960136,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-23/phone_promptresponse_clean_2020-11-23.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-23,2020-11-23 20:45:00 PST,GMT-08:00,1606193100168,Completed,2020-11-23,2020-11-23 20:53:29 PST,1606193609045,2,set_3,23,9,Quite a bit,A little,Extremely,A little,Moderately,Moderately,A little,Not at all,A little,A little,A little,Moderately,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Sort of,,,,
doorpostthesisjubilance@timestudy_com/2020-11-24/phone_promptresponse_clean_2020-11-24.csv,16,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-24,2020-11-24 20:26:00 PST,GMT-08:00,1606278360164,Completed,2020-11-24,2020-11-24 20:26:58 PST,1606278418160,1,set_4,23,9,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,A little,Not at all,Moderately,A little,Quite a bit,A little,Quite a bit,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-25/phone_promptresponse_clean_2020-11-25.csv,18,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-25,2020-11-25 20:29:00 PST,GMT-08:00,1606364940170,Completed,2020-11-25,2020-11-25 20:57:10 PST,1606366630708,2,set_2,24,9,Moderately,Quite a bit,Quite a bit,Moderately,Extremely,A little,Moderately,A little,A little,Moderately,A little,Moderately,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Trying to decide,A little bit
doorpostthesisjubilance@timestudy_com/2020-11-26/phone_promptresponse_clean_2020-11-26.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-26,2020-11-26 19:33:00 PST,GMT-08:00,1606447980196,Completed,2020-11-26,2020-11-26 19:34:34 PST,1606448074058,1,set_1,25,9,Moderately,Quite a bit,Moderately,A little,A little,Moderately,Quite a bit,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,A little bit
doorpostthesisjubilance@timestudy_com/2020-11-27/phone_promptresponse_clean_2020-11-27.csv,17,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-27,2020-11-27 20:11:00 PST,GMT-08:00,1606536660095,Completed,2020-11-27,2020-11-27 20:14:14 PST,1606536854139,1,set_4,24,9,Moderately,Quite a bit,A little,Quite a bit,Extremely,A little,A little,A little,A little,Quite a bit,Moderately,Moderately,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,Very much so,Definitely will,,Sort of,,,,,,,,,,,,,,,,,A little bit
doorpostthesisjubilance@timestudy_com/2020-11-28/phone_promptresponse_clean_2020-11-28.csv,18,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-28,2020-11-28 20:41:00 PST,GMT-08:00,1606624860174,Completed,2020-11-28,2020-11-28 20:43:52 PST,1606625032350,1,set_1,24,9,Moderately,Moderately,Quite a bit,Moderately,Extremely,A little,Quite a bit,Extremely,A little,Moderately,Not at all,Very much so,Moderately,A little,No,No,0,A little,Might,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-29/phone_promptresponse_clean_2020-11-29.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-29,2020-11-29 20:13:00 PST,GMT-08:00,1606709580242,Completed,2020-11-29,2020-11-29 20:26:29 PST,1606710389256,2,set_4,48,9,Quite a bit,Moderately,Quite a bit,Moderately,Extremely,Moderately,A little,Moderately,Moderately,A little,A little,Very much so,Quite a bit,Moderately,No,No,0,,,,,Yes,Yes,Sort of,but had a goal,Not really,Very much so,Probably will,Sort of,Sort of,Extremely,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Moderate,Quite a bit,,,,,,,A little bit
doorpostthesisjubilance@timestudy_com/2020-11-30/phone_promptresponse_clean_2020-11-30.csv,18,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-30,2020-11-30 20:18:00 PST,GMT-08:00,1606796280153,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-01/phone_promptresponse_clean_2020-12-01.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-01,2020-12-01 20:36:01 PST,GMT-08:00,1606883761887,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-02/phone_promptresponse_clean_2020-12-02.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,21,22,2020-12-02,2020-12-02 21:39:00 PST,GMT-08:00,1606973940130,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-03/phone_promptresponse_clean_2020-12-03.csv,17,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-03,2020-12-03 20:16:00 PST,GMT-08:00,1607055360301,Completed,2020-12-03,2020-12-03 20:17:21 PST,1607055441497,1,set_2,24,9,Quite a bit,A little,Quite a bit,Moderately,A little,Quite a bit,Extremely,Moderately,Moderately,Moderately,A little,Moderately,Quite a bit,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Might,Trying to decide,Not at all
doorpostthesisjubilance@timestudy_com/2020-12-04/phone_promptresponse_clean_2020-12-04.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-04,2020-12-04 20:35:00 PST,GMT-08:00,1607142900138,Completed,2020-12-04,2020-12-04 20:36:21 PST,1607142981425,1,set_2,24,9,Quite a bit,Moderately,Quite a bit,Moderately,A little,Extremely,Extremely,Quite a bit,Quite a bit,Moderately,A little,A little,A little,Moderately,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Yes,Not at all
doorpostthesisjubilance@timestudy_com/2020-12-05/phone_promptresponse_clean_2020-12-05.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-12-05,2020-12-05 19:47:00 PST,GMT-08:00,1607226420174,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-06/phone_promptresponse_clean_2020-12-06.csv,17,doorpostthesisjubilance,Daily,TIME,RANDOM,18,19,2020-12-06,2020-12-06 18:30:00 PST,GMT-08:00,1607308200129,Completed,2020-12-06,2020-12-06 18:44:12 PST,1607309052849,2,set_2,47,9,Moderately,Quite a bit,Quite a bit,Moderately,Quite a bit,Moderately,Quite a bit,Quite a bit,Moderately,A little,Moderately,Quite a bit,Moderately,Quite a bit,No,No,0,,,,,Sort of,Maybe,Yes,Yes,Not really,,,Yes,,Extremely,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Quite a bit,Quite a bit,,,,Quite a bit,Probably will,Yes,
doorpostthesisjubilance@timestudy_com/2020-12-07/phone_promptresponse_clean_2020-12-07.csv,20,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-12-07,2020-12-07 19:24:00 PST,GMT-08:00,1607397840225,Completed,2020-12-07,2020-12-07 19:25:18 PST,1607397918252,1,set_2,23,9,Moderately,Quite a bit,Extremely,Moderately,Quite a bit,Moderately,Moderately,A little,Moderately,Quite a bit,Not at all,Quite a bit,A little,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Might,Yes,
doorpostthesisjubilance@timestudy_com/2020-12-08/phone_promptresponse_clean_2020-12-08.csv,19,doorpostthesisjubilance,Daily,BURST,RANDOM,19,20,2020-12-08,2020-12-08 19:47:00 PST,GMT-08:00,1607485620184,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-09/phone_promptresponse_clean_2020-12-09.csv,22,doorpostthesisjubilance,Daily,BURST,RANDOM,20,21,2020-12-09,2020-12-09 20:18:00 PST,GMT-08:00,1607573880281,Completed,2020-12-09,2020-12-09 20:20:09 PST,1607574009176,1,set_2,23,9,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,A little,A little,Very much so,Quite a bit,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Probably will not,Trying to decide,
doorpostthesisjubilance@timestudy_com/2020-12-10/phone_promptresponse_clean_2020-12-10.csv,21,doorpostthesisjubilance,Daily,BURST,RANDOM,20,21,2020-12-10,2020-12-10 20:46:00 PST,GMT-08:00,1607661960150,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-11/phone_promptresponse_clean_2020-12-11.csv,18,doorpostthesisjubilance,Daily,TIME,RANDOM,21,22,2020-12-11,2020-12-11 21:22:00 PST,GMT-08:00,1607750520120,Completed,2020-12-11,2020-12-11 21:29:51 PST,1607750991569,2,set_4,23,9,Quite a bit,Moderately,Quite a bit,Moderately,Quite a bit,A little,Extremely,Quite a bit,Quite a bit,A little,A little,Moderately,Quite a bit,Moderately,No,No,0,,,,,,,,,,Very much so,Definitely will,,Yes,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-12/phone_promptresponse_clean_2020-12-12.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-12,2020-12-12 20:46:00 PST,GMT-08:00,1607834760153,Completed,2020-12-12,2020-12-12 20:50:28 PST,1607835028881,1,set_1,24,9,A little,Quite a bit,Extremely,Moderately,Quite a bit,Moderately,Moderately,A little,A little,A little,Not at all,Very much so,Quite a bit,Moderately,No,No,0,Quite a bit,Might,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-13/phone_promptresponse_clean_2020-12-13.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-13,2020-12-13 20:29:00 PST,GMT-08:00,1607920140167,Completed,2020-12-13,2020-12-13 20:48:30 PST,1607921310870,2,set_1,48,9,Quite a bit,Moderately,Extremely,A little,Quite a bit,Moderately,Quite a bit,Moderately,A little,A little,A little,Very much so,Quite a bit,A little,No,No,0,Very much so,Definitely will,Yes,Yes,Sort of,Yes,Not really,but had a goal,Not really,,,Sort of,,Extremely,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,More,Moderate,Quite a bit,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-14/phone_promptresponse_clean_2020-12-14.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-14,2020-12-14 20:13:00 PST,GMT-08:00,1608005580174,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-15/phone_promptresponse_clean_2020-12-15.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-12-15,2020-12-15 19:30:00 PST,GMT-08:00,1608089400167,Completed,2020-12-15,2020-12-15 19:32:12 PST,1608089532671,1,set_1,25,9,Moderately,A little,Extremely,A little,A little,Quite a bit,Extremely,Moderately,A little,Moderately,Not at all,Moderately,Moderately,Quite a bit,No,No,0,A little,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,A little bit
doorpostthesisjubilance@timestudy_com/2020-12-16/phone_promptresponse_clean_2020-12-16.csv,18,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-16,2020-12-16 20:15:00 PST,GMT-08:00,1608178500158,Completed,2020-12-16,2020-12-16 20:17:00 PST,1608178620224,1,set_4,24,9,Quite a bit,Moderately,A little,Not at all,Moderately,Moderately,A little,Moderately,A little,A little,Not at all,Moderately,Quite a bit,A little,No,Did not have to work today,0,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,,,,,,,,Not at all
doorpostthesisjubilance@timestudy_com/2020-12-17/phone_promptresponse_clean_2020-12-17.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-17,2020-12-17 20:16:00 PST,GMT-08:00,1608264960157,Completed,2020-12-17,2020-12-17 20:18:07 PST,1608265087779,1,set_4,24,9,Extremely,Moderately,Quite a bit,Moderately,Extremely,A little,Not at all,A little,A little,Moderately,A little,Quite a bit,A little,Moderately,No,Did not have to work today,0,,,,,,,,,,Very much so,Probably will,,Sort of,,,,,,,,,,,,,,,,,Not at all
doorpostthesisjubilance@timestudy_com/2020-12-18/phone_promptresponse_clean_2020-12-18.csv,13,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-12-18,2020-12-18 20:41:00 PST,GMT-08:00,1608352860140,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-12-19/phone_promptresponse_clean_2020-12-19.csv,15,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-12-19,2020-12-19 19:41:00 PST,GMT-08:00,1608435660270,Completed,2020-12-19,2020-12-19 19:42:36 PST,1608435756436,1,set_3,24,9,Moderately,Moderately,Quite a bit,Quite a bit,Extremely,A little,Not at all,A little,A little,A little,A little,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Not really,,,,Not at all
