.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
headwearskirmishantidote@timestudy_com/2021-07-11/phone_promptresponse_clean_2021-07-11.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-10,2021-07-10 23:43:00 CDT,GMT-05:00,1625978580164,Completed,2021-07-11,2021-07-11 01:10:08 CDT,1625983808475,2,set_4,47,9,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,Not at all,Not at all,A little,Quite a bit,Moderately,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,Sort of,Yes,Sort of,Yes,Not really,Quite a bit,Probably will,Yes,Sort of,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Very little,Moderate
headwearskirmishantidote@timestudy_com/2021-07-11/phone_promptresponse_clean_2021-07-11.csv,29,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-11,2021-07-11 23:48:00 CDT,GMT-05:00,1626065280163,Completed,2021-07-11,2021-07-11 23:54:01 CDT,1626065641730,2,set_1,48,9,A little,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Quite a bit,Definitely will,Yes,Yes,Sort of,Yes,Sort of,Maybe,Not really,,,Sort of,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Very little,Very little
headwearskirmishantidote@timestudy_com/2021-07-12/phone_promptresponse_clean_2021-07-12.csv,24,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-12,2021-07-12 23:34:00 CDT,GMT-05:00,1626150840165,Completed,2021-07-12,2021-07-12 23:43:14 CDT,1626151394182,2,set_2,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,Quite a bit,Probably will,Yes,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-13/phone_promptresponse_clean_2021-07-13.csv,24,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-13,2021-07-13 23:19:00 CDT,GMT-05:00,1626236340169,Completed,2021-07-13,2021-07-13 23:20:05 CDT,1626236405574,1,set_3,24,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Quite a bit,No,No,0,A little,Might,Sort of,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-14/phone_promptresponse_clean_2021-07-14.csv,24,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-14,2021-07-14 23:30:00 CDT,GMT-05:00,1626323400178,Completed,2021-07-14,2021-07-14 23:30:54 CDT,1626323454464,1,set_3,23,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,A little,A little,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,No,0,Not at all,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-15/phone_promptresponse_clean_2021-07-15.csv,23,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-15,2021-07-15 23:21:00 CDT,GMT-05:00,1626409260156,Completed,2021-07-15,2021-07-15 23:32:22 CDT,1626409942681,2,set_1,24,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,A little,A little,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,Quite a bit,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-17/phone_promptresponse_clean_2021-07-17.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-16,2021-07-16 23:46:00 CDT,GMT-05:00,1626497160177,Completed,2021-07-17,2021-07-17 00:11:12 CDT,1626498672002,2,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,No,Did not have to work today,0,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-17/phone_promptresponse_clean_2021-07-17.csv,25,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-17,2021-07-17 23:32:00 CDT,GMT-05:00,1626582720168,Completed,2021-07-17,2021-07-17 23:42:04 CDT,1626583324684,2,set_1,24,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-18/phone_promptresponse_clean_2021-07-18.csv,60,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-18,2021-07-18 23:36:00 CDT,GMT-05:00,1626669360161,Completed,2021-07-18,2021-07-18 23:44:31 CDT,1626669871205,2,set_2,47,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,Quite a bit,Definitely will,Yes,,,,,,Yes,Yes,Sort of,Yes,Not really,,,Sort of,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Very little,Very little
headwearskirmishantidote@timestudy_com/2021-07-19/phone_promptresponse_clean_2021-07-19.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-19,2021-07-19 23:44:00 CDT,GMT-05:00,1626756240212,Completed,2021-07-19,2021-07-19 23:45:21 CDT,1626756321389,1,set_1,24,9,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Moderately,Not at all,Quite a bit,No,Yes,0,,,,,,,,A little,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-21/phone_promptresponse_clean_2021-07-21.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-20,2021-07-20 23:47:00 CDT,GMT-05:00,1626842820193,Completed,2021-07-21,2021-07-21 00:03:08 CDT,1626843788844,2,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,A little,Not at all,Not at all,A little,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-21/phone_promptresponse_clean_2021-07-21.csv,26,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-21,2021-07-21 23:34:00 CDT,GMT-05:00,1626928440179,Completed,2021-07-21,2021-07-21 23:35:20 CDT,1626928520580,1,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,A little,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-22/phone_promptresponse_clean_2021-07-22.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-22,2021-07-22 23:29:00 CDT,GMT-05:00,1627014540164,Completed,2021-07-22,2021-07-22 23:30:10 CDT,1627014610887,1,set_4,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,Not at all,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-23/phone_promptresponse_clean_2021-07-23.csv,23,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-23,2021-07-23 23:38:00 CDT,GMT-05:00,1627101480151,Completed,2021-07-23,2021-07-23 23:38:49 CDT,1627101529014,1,set_4,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,Very much,,,,,,,,,,Quite a bit,Probably will,,Not really,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-24/phone_promptresponse_clean_2021-07-24.csv,23,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-24,2021-07-24 23:12:00 CDT,GMT-05:00,1627186320163,Completed,2021-07-24,2021-07-24 23:15:05 CDT,1627186505776,1,set_3,23,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,No,Did not have to work today,0,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-25/phone_promptresponse_clean_2021-07-25.csv,24,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-07-25,2021-07-25 23:19:00 CDT,GMT-05:00,1627273140177,Completed,2021-07-25,2021-07-25 23:28:15 CDT,1627273695078,2,set_4,47,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,Not really,Yes,Not really,Yes,Not really,Quite a bit,Might,Not really,Not really,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Very little,Moderate
headwearskirmishantidote@timestudy_com/2021-07-26/phone_promptresponse_clean_2021-07-26.csv,23,headwearskirmishantidote,Daily,BURST,RANDOM,22,23,2021-07-26,2021-07-26 22:34:00 CDT,GMT-05:00,1627356840196,Completed,2021-07-26,2021-07-26 22:35:32 CDT,1627356932812,1,set_3,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,A little,Might,Not really,,,,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-28/phone_promptresponse_clean_2021-07-28.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-27,2021-07-27 23:45:00 CDT,GMT-05:00,1627447500178,Completed,2021-07-28,2021-07-28 00:01:47 CDT,1627448507028,2,set_1,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,No,0,,,,,,,,Very much so,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-28/phone_promptresponse_clean_2021-07-28.csv,25,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-28,2021-07-28 23:17:00 CDT,GMT-05:00,1627532220166,Completed,2021-07-28,2021-07-28 23:26:51 CDT,1627532811859,2,set_3,23,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-29/phone_promptresponse_clean_2021-07-29.csv,23,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-29,2021-07-29 23:19:00 CDT,GMT-05:00,1627618740171,Completed,2021-07-29,2021-07-29 23:25:52 CDT,1627619152311,2,set_1,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,A little,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-30/phone_promptresponse_clean_2021-07-30.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-30,2021-07-30 23:26:00 CDT,GMT-05:00,1627705560161,Completed,2021-07-30,2021-07-30 23:26:58 CDT,1627705618318,1,set_4,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,A little,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-08-01/phone_promptresponse_clean_2021-08-01.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,0,1,2021-08-01,2021-08-01 00:49:00 CDT,GMT-05:00,1627796940171,Completed,2021-08-01,2021-08-01 00:52:36 CDT,1627797156566,1,set_1,48,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Yes,but I had a goal,Yes,Yes,Yes,Yes,Not really,,,Sort of,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Not at all,Moderate
headwearskirmishantidote@timestudy_com/2021-08-01/phone_promptresponse_clean_2021-08-01.csv,56,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-08-01,2021-08-01 23:18:00 CDT,GMT-05:00,1627877880166,Completed,2021-08-01,2021-08-01 23:28:05 CDT,1627878485362,2,set_3,48,9,Not at all,Quite a bit,Not at all,Quite a bit,Moderately,Not at all,A little,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Very much so,No,Did not have to work today,0,Not at all,Probably will not,Not really,,,,Not at all,,,,,Sort of,Yes,Sort of,Yes,No,,,Sort of,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,Neither more nor less,Neither more nor less,Not at all,Moderate
headwearskirmishantidote@timestudy_com/2021-08-02/phone_promptresponse_clean_2021-08-02.csv,25,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-08-02,2021-08-02 23:29:00 CDT,GMT-05:00,1627964940187,Completed,2021-08-02,2021-08-02 23:48:06 CDT,1627966086282,2,set_4,24,9,Not at all,Moderately,Not at all,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,Not at all,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-08-03/phone_promptresponse_clean_2021-08-03.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-08-03,2021-08-03 23:33:00 CDT,GMT-05:00,1628051580376,Completed,2021-08-03,2021-08-03 23:43:49 CDT,1628052229859,2,set_2,23,9,Not at all,Moderately,Not at all,Moderately,Moderately,A little,Moderately,A little,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-08-04/phone_promptresponse_clean_2021-08-04.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-08-04,2021-08-04 23:12:00 CDT,GMT-05:00,1628136720172,Completed,2021-08-04,2021-08-04 23:44:59 CDT,1628138699519,2,set_4,23,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Moderately,Moderately,Not at all,A little,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Definitely will,,Yes,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-08-05/phone_promptresponse_clean_2021-08-05.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-08-05,2021-08-05 23:34:00 CDT,GMT-05:00,1628224440231,Completed,2021-08-05,2021-08-05 23:35:56 CDT,1628224556875,1,set_4,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Yes,,,,,,,,,,
