participantID,EMA_count,EMA_completed_count,EMA_partial_count,EMA_completed_percent
unfreezefrayingknoll,347,332,1,95.67723342939482
unmixableresultfidgety,338,322,4,95.26627218934911
unraveledlitterpowerably,354,313,11,88.4180790960452
unveileddismountearwig,357,351,0,98.31932773109243
urchinvariablytrend,363,342,5,94.21487603305785
vagabondnumerousflatterer,343,336,1,97.95918367346938
washboardceramicsenticing,376,369,1,98.13829787234043
whoeverrelightspookily,358,353,1,98.60335195530726
wikipediaetchingcrystal,364,349,5,95.87912087912088
wrigglecatalyststerility,355,318,1,89.5774647887324
yearlingfiberspotty,351,335,1,95.44159544159544
